"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
1776.5,3.666666667,"U","ATLANTIC SOUTH AREA",1069232
1.75,0,"U","ATLANTIC SOUTH AREA",1043846
93,0,"N","ATLANTIC SOUTH AREA",1008539
769.5,0,"U","ATLANTIC SOUTH AREA",1068315
586,1.666666667,"U","ATLANTIC SOUTH AREA",1074220
350.5,1.666666667,"U","ATLANTIC SOUTH AREA",1079315
647.5,2,"U","ATLANTIC SOUTH AREA",1049228
238.75,0.666666667,"N","ATLANTIC SOUTH AREA",1044749
314,0,"U","ATLANTIC SOUTH AREA",1046369
468.25,4.666666667,"N","ATLANTIC SOUTH AREA",1039541
221.5,0,"U","ATLANTIC SOUTH AREA",1061517
915.75,13.33333333,"Y","ATLANTIC SOUTH AREA",1059857
159.25,0,"U","ATLANTIC SOUTH AREA",1088924
509,2.666666667,"Y","ATLANTIC SOUTH AREA",1050744
408.5,0,"U","ATLANTIC SOUTH AREA",1026898
151.75,0,"U","ATLANTIC SOUTH AREA",1074063
34,0,"Y","ATLANTIC SOUTH AREA",1051131
163.75,2.666666667,"U","ATLANTIC SOUTH AREA",1088085
363,12.33333333,"U","ATLANTIC SOUTH AREA",1063027
174.75,1.333333333,"U","ATLANTIC SOUTH AREA",1082424
1422.75,6.666666667,"U","ATLANTIC SOUTH AREA",1007332
895,0,"U","ATLANTIC SOUTH AREA",1087543
882.25,14.33333333,"Y","ATLANTIC SOUTH AREA",1070376
1184.5,10,"U","ATLANTIC SOUTH AREA",1027315
761.25,9.333333333,"U","ATLANTIC SOUTH AREA",1087633
393.25,0,"U","ATLANTIC SOUTH AREA",1071743
820.25,9,"Y","ATLANTIC SOUTH AREA",1048684
424.5,0,"U","ATLANTIC SOUTH AREA",1084796
1544,41.66666667,"U","ATLANTIC SOUTH AREA",1096024
1920,8.333333333,"U","ATLANTIC SOUTH AREA",1087379
2260.5,14.33333333,"U","ATLANTIC SOUTH AREA",1074622
397,0,"U","ATLANTIC SOUTH AREA",1025747
343,0.666666667,"N","ATLANTIC SOUTH AREA",1086792
253.75,0.333333333,"U","ATLANTIC SOUTH AREA",1059238
423,4,"U","ATLANTIC SOUTH AREA",1089425
744.25,0.666666667,"Y","ATLANTIC SOUTH AREA",1050752
1402.5,1.333333333,"U","ATLANTIC SOUTH AREA",1084152
212.5,0,"U","ATLANTIC SOUTH AREA",1095203
3368.25,3.666666667,"U","ATLANTIC SOUTH AREA",1066703
440.5,0,"U","ATLANTIC SOUTH AREA",1096240
21,0,"Y","ATLANTIC SOUTH AREA",1083308
