"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
516.75,15.66666667,"U","CALIFORNIA NORTH AREA",1064411
74.25,0,"U","CALIFORNIA NORTH AREA",1029380
788.75,0.666666667,"Y","CALIFORNIA NORTH AREA",1056368
339.25,2,"Y","CALIFORNIA NORTH AREA",1046285
1009.5,1.333333333,"U","CALIFORNIA NORTH AREA",1010813
65.5,0,"Y","CALIFORNIA NORTH AREA",1055853
760.75,0,"Y","CALIFORNIA NORTH AREA",1020389
74.75,0,"U","CALIFORNIA NORTH AREA",1068450
128.5,0,"U","CALIFORNIA NORTH AREA",1065402
381.25,0,"N","CALIFORNIA NORTH AREA",1063689
508,0,"U","CALIFORNIA NORTH AREA",1056712
121,0,"U","CALIFORNIA NORTH AREA",1097679
639.25,0,"U","CALIFORNIA NORTH AREA",1088995
527.5,0,"U","CALIFORNIA NORTH AREA",1050678
171.75,0,"U","CALIFORNIA NORTH AREA",1082406
43.25,0,"Y","CALIFORNIA NORTH AREA",1035941
1944.5,3,"U","CALIFORNIA NORTH AREA",1024103
114.5,0,"U","CALIFORNIA NORTH AREA",1037072
460,0,"Y","CALIFORNIA NORTH AREA",1091501
81.5,0,"Y","CALIFORNIA NORTH AREA",1044230
424.5,0,"U","CALIFORNIA NORTH AREA",1041213
169.25,0,"U","CALIFORNIA NORTH AREA",1007377
2601.25,4,"U","CALIFORNIA NORTH AREA",1042128
11.75,0,"Y","CALIFORNIA NORTH AREA",1012974
299,0.333333333,"Y","CALIFORNIA NORTH AREA",1010948
579,1.666666667,"N","CALIFORNIA NORTH AREA",1026507
76.25,0,"U","CALIFORNIA NORTH AREA",1083416
1061.75,10,"Y","CALIFORNIA NORTH AREA",1019312
250,0,"U","CALIFORNIA NORTH AREA",1014989
55.5,0,"U","CALIFORNIA NORTH AREA",1003382
351.75,0.333333333,"U","CALIFORNIA NORTH AREA",1082720
1638,4.666666667,"U","CALIFORNIA NORTH AREA",1057033
791.25,0,"U","CALIFORNIA NORTH AREA",1097652
907,5.333333333,"Y","CALIFORNIA NORTH AREA",1077428
310.75,0,"U","CALIFORNIA NORTH AREA",1084991
438,4.333333333,"U","CALIFORNIA NORTH AREA",1047507
1652.25,12.33333333,"N","CALIFORNIA NORTH AREA",1003734
123,0,"U","CALIFORNIA NORTH AREA",1029644
83,0,"U","CALIFORNIA NORTH AREA",1018261
1782,3.333333333,"N","CALIFORNIA NORTH AREA",1064812
219.75,0.333333333,"U","CALIFORNIA NORTH AREA",1097663
164.75,0.666666667,"U","CALIFORNIA NORTH AREA",1014679
412.25,0,"U","CALIFORNIA NORTH AREA",1070508
85.5,0,"U","CALIFORNIA NORTH AREA",1026995
863.25,0,"U","CALIFORNIA NORTH AREA",1029189
69.5,0,"U","CALIFORNIA NORTH AREA",1031188
190,0,"U","CALIFORNIA NORTH AREA",1025430
279.25,0,"N","CALIFORNIA NORTH AREA",1058018
514.25,1.333333333,"N","CALIFORNIA NORTH AREA",1000931
398,0,"U","CALIFORNIA NORTH AREA",1033400
1019,1,"N","CALIFORNIA NORTH AREA",1045459
81.5,0,"Y","CALIFORNIA NORTH AREA",1079402
844,0,"N","CALIFORNIA NORTH AREA",1023944
195.25,0,"U","CALIFORNIA NORTH AREA",1092070
37,0.666666667,"U","CALIFORNIA NORTH AREA",1076820
86,2,"Y","CALIFORNIA NORTH AREA",1062420
9.25,0,"U","CALIFORNIA NORTH AREA",1010511
4.25,0,"U","CALIFORNIA NORTH AREA",1041970
673,15,"Y","CALIFORNIA NORTH AREA",1091428
219.5,1.333333333,"U","CALIFORNIA NORTH AREA",1048673
599.5,0,"N","CALIFORNIA NORTH AREA",1058971
359.75,0,"U","CALIFORNIA NORTH AREA",1074797
95.25,1,"U","CALIFORNIA NORTH AREA",1069915
504,0,"U","CALIFORNIA NORTH AREA",1090389
245.75,0,"U","CALIFORNIA NORTH AREA",1026107
50.5,0,"U","CALIFORNIA NORTH AREA",1080212
5.5,0,"Y","CALIFORNIA NORTH AREA",1014959
254.25,0,"U","CALIFORNIA NORTH AREA",1053343
835.75,0,"U","CALIFORNIA NORTH AREA",1039109
445.75,7.333333333,"Y","CALIFORNIA NORTH AREA",1034237
3566.25,0,"U","CALIFORNIA NORTH AREA",1091009
154.5,2,"U","CALIFORNIA NORTH AREA",1022254
31.25,0.333333333,"U","CALIFORNIA NORTH AREA",1034573
1007.25,11.33333333,"U","CALIFORNIA NORTH AREA",1093850
947.5,2.666666667,"U","CALIFORNIA NORTH AREA",1025552
825.25,0.666666667,"U","CALIFORNIA NORTH AREA",1096365
337,7,"U","CALIFORNIA NORTH AREA",1050868
584.75,0,"U","CALIFORNIA NORTH AREA",1052604
947,4,"U","CALIFORNIA NORTH AREA",1044091
338.5,0,"U","CALIFORNIA NORTH AREA",1013216
660.5,1.333333333,"Y","CALIFORNIA NORTH AREA",1001185
253,0,"U","CALIFORNIA NORTH AREA",1078657
763.5,3.666666667,"U","CALIFORNIA NORTH AREA",1023606
612.5,0,"N","CALIFORNIA NORTH AREA",1067977
363.25,3,"U","CALIFORNIA NORTH AREA",1006361
1,0,"U","CALIFORNIA NORTH AREA",1007529
289,1.666666667,"U","CALIFORNIA NORTH AREA",1095325
58.5,0,"U","CALIFORNIA NORTH AREA",1015226
113,0,"N","CALIFORNIA NORTH AREA",1018505
