"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
288.25,13.66666667,"N","CENTRAL-SOUTH TEXAS AREA",1016302
128.75,1,"U","CENTRAL-SOUTH TEXAS AREA",1002366
325.5,0,"N","CENTRAL-SOUTH TEXAS AREA",1062599
65.75,0,"U","CENTRAL-SOUTH TEXAS AREA",1059746
39,0,"N","CENTRAL-SOUTH TEXAS AREA",1016781
0,0,"U","CENTRAL-SOUTH TEXAS AREA",1065562
419.75,2.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1025580
17.5,0,"U","CENTRAL-SOUTH TEXAS AREA",1007025
130,0,"U","CENTRAL-SOUTH TEXAS AREA",1015533
746.75,0.333333333,"U","CENTRAL-SOUTH TEXAS AREA",1087888
77.25,0,"Y","CENTRAL-SOUTH TEXAS AREA",1064715
1005.25,0,"Y","CENTRAL-SOUTH TEXAS AREA",1002013
1572.75,0.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1068448
419.25,17,"U","CENTRAL-SOUTH TEXAS AREA",1038669
350.5,2.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1047165
145.25,0,"U","CENTRAL-SOUTH TEXAS AREA",1015970
0,0,"U","CENTRAL-SOUTH TEXAS AREA",1019091
1825.25,2.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1055646
78.25,0,"U","CENTRAL-SOUTH TEXAS AREA",1033795
623.25,0,"N","CENTRAL-SOUTH TEXAS AREA",1024084
928.25,2.666666667,"N","CENTRAL-SOUTH TEXAS AREA",1087920
509.5,0,"Y","CENTRAL-SOUTH TEXAS AREA",1077127
785.5,0,"N","CENTRAL-SOUTH TEXAS AREA",1036133
544.5,0,"U","CENTRAL-SOUTH TEXAS AREA",1018390
1550.25,0,"Y","CENTRAL-SOUTH TEXAS AREA",1024268
113,14,"U","CENTRAL-SOUTH TEXAS AREA",1026843
590.25,2,"U","CENTRAL-SOUTH TEXAS AREA",1043286
947,4.333333333,"N","CENTRAL-SOUTH TEXAS AREA",1067640
763,6,"U","CENTRAL-SOUTH TEXAS AREA",1038111
256.5,5.333333333,"Y","CENTRAL-SOUTH TEXAS AREA",1021062
428,0,"Y","CENTRAL-SOUTH TEXAS AREA",1019203
1026,0,"U","CENTRAL-SOUTH TEXAS AREA",1020152
626.25,0,"U","CENTRAL-SOUTH TEXAS AREA",1084211
87.75,0,"N","CENTRAL-SOUTH TEXAS AREA",1021841
487,0.333333333,"N","CENTRAL-SOUTH TEXAS AREA",1041201
800,1.666666667,"U","CENTRAL-SOUTH TEXAS AREA",1060964
294.5,0,"N","CENTRAL-SOUTH TEXAS AREA",1003014
580.25,1.333333333,"Y","CENTRAL-SOUTH TEXAS AREA",1072200
23.25,0,"U","CENTRAL-SOUTH TEXAS AREA",1077829
107.25,0,"U","CENTRAL-SOUTH TEXAS AREA",1015941
552.5,0.666666667,"N","CENTRAL-SOUTH TEXAS AREA",1029622
816,1.333333333,"N","CENTRAL-SOUTH TEXAS AREA",1019370
767.25,0,"N","CENTRAL-SOUTH TEXAS AREA",1038271
1739.5,3,"Y","CENTRAL-SOUTH TEXAS AREA",1030198
26.25,0,"N","CENTRAL-SOUTH TEXAS AREA",1003331
1067,0,"U","CENTRAL-SOUTH TEXAS AREA",1058432
524.75,0,"U","CENTRAL-SOUTH TEXAS AREA",1002055
2.5,0,"Y","CENTRAL-SOUTH TEXAS AREA",1000014
132.25,0,"Y","CENTRAL-SOUTH TEXAS AREA",1012189
400,0,"Y","CENTRAL-SOUTH TEXAS AREA",1002581
2159,1.333333333,"U","CENTRAL-SOUTH TEXAS AREA",1033477
80.5,0.666666667,"Y","CENTRAL-SOUTH TEXAS AREA",1041738
1093,4,"Y","CENTRAL-SOUTH TEXAS AREA",1063572
405.5,0,"U","CENTRAL-SOUTH TEXAS AREA",1033628
1319.75,0,"Y","CENTRAL-SOUTH TEXAS AREA",1022960
2176.25,0.333333333,"U","CENTRAL-SOUTH TEXAS AREA",1095294
955.25,0,"U","CENTRAL-SOUTH TEXAS AREA",1087602
