"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
360.5,11,"U","CHICAGO AREA",1089806
382.75,0.666666667,"U","CHICAGO AREA",1088967
249.25,0,"U","CHICAGO AREA",1085074
620.5,6.666666667,"Y","CHICAGO AREA",1053959
633.25,1,"U","CHICAGO AREA",1046932
1375,3,"U","CHICAGO AREA",1068224
88.25,0.333333333,"U","CHICAGO AREA",1055525
165.75,0,"Y","CHICAGO AREA",1002146
0,0,"U","CHICAGO AREA",1013487
227.25,0,"U","CHICAGO AREA",1090513
284.5,0,"U","CHICAGO AREA",1029772
489,0.666666667,"Y","CHICAGO AREA",1019236
757.5,0,"N","CHICAGO AREA",1071222
323.75,0,"U","CHICAGO AREA",1080605
1133.5,10.66666667,"U","CHICAGO AREA",1046760
438.5,1.666666667,"N","CHICAGO AREA",1096542
246.25,0,"U","CHICAGO AREA",1078325
897.5,7.666666667,"U","CHICAGO AREA",1088126
1124.75,1.333333333,"Y","CHICAGO AREA",1054387
866.75,1.666666667,"N","CHICAGO AREA",1016934
974.5,0,"U","CHICAGO AREA",1069138
241.25,0,"U","CHICAGO AREA",1073252
108.5,0.333333333,"U","CHICAGO AREA",1013832
197,0,"U","CHICAGO AREA",1040723
406.5,0,"U","CHICAGO AREA",1068574
13.75,0.333333333,"U","CHICAGO AREA",1013756
848.75,1.666666667,"U","CHICAGO AREA",1050042
124.25,0,"U","CHICAGO AREA",1048495
227.5,0,"U","CHICAGO AREA",1082758
820.25,2.666666667,"U","CHICAGO AREA",1056584
592,0,"U","CHICAGO AREA",1061234
1097.5,5,"U","CHICAGO AREA",1077334
22,0,"U","CHICAGO AREA",1027156
217.25,3.333333333,"U","CHICAGO AREA",1055422
301,0,"U","CHICAGO AREA",1046225
2.5,0,"U","CHICAGO AREA",1082344
627.75,3.333333333,"U","CHICAGO AREA",1091917
1753.25,6.333333333,"U","CHICAGO AREA",1084223
789,0,"U","CHICAGO AREA",1065505
0.5,0,"U","CHICAGO AREA",1037335
427.25,0,"Y","CHICAGO AREA",1073857
257.75,4,"Y","CHICAGO AREA",1012877
393.75,0,"U","CHICAGO AREA",1073427
444.25,1.333333333,"U","CHICAGO AREA",1086860
488.75,10,"U","CHICAGO AREA",1069407
181.75,0,"U","CHICAGO AREA",1032867
826,0,"U","CHICAGO AREA",1018664
139.75,0,"U","CHICAGO AREA",1031323
962.75,1.666666667,"U","CHICAGO AREA",1093864
8.5,0,"U","CHICAGO AREA",1057747
503,8.333333333,"U","CHICAGO AREA",1065328
150.75,0,"N","CHICAGO AREA",1063134
60.75,0,"U","CHICAGO AREA",1071982
580.25,1,"U","CHICAGO AREA",1047759
204.25,0,"U","CHICAGO AREA",1052476
424.25,7.666666667,"U","CHICAGO AREA",1063199
396,6,"N","CHICAGO AREA",1027873
991.25,1.666666667,"N","CHICAGO AREA",1012963
527.75,0,"U","CHICAGO AREA",1088968
650.25,1.333333333,"U","CHICAGO AREA",1011676
367.5,0,"U","CHICAGO AREA",1031363
534.75,2,"U","CHICAGO AREA",1060783
180.75,0,"U","CHICAGO AREA",1018293
42.75,0,"U","CHICAGO AREA",1073405
