"creditcd","eqpdays","Customer_ID"
"N",127,1021919
"N",471,1061499
"Y",289,1089004
"Y",867,1014402
"N",269,1014503
"Y",163,1010267
"N",238,1074203
"N",301,1073093
"Y",205,1005754
"N",5,1090260
"Y",451,1043640
"Y",326,1052063
"Y",438,1068407
"Y",49,1015381
"Y",195,1012961
"Y",278,1037249
"N",199,1091755
"Y",368,1032047
"Y",333,1068114
"N",257,1070160
"Y",732,1032817
"Y",219,1043058
"N",34,1075027
"N",689,1019031
"Y",38,1015947
"Y",606,1013369
"N",474,1062708
"N",259,1094835
"Y",342,1056130
"Y",56,1016726
"Y",81,1025548
"Y",477,1024544
"N",524,1047271
"N",575,1029354
"N",330,1076784
"Y",81,1063630
"Y",362,1085151
"N",246,1087373
"Y",685,1019580
"Y",667,1038922
"Y",68,1018840
"N",353,1046716
"Y",336,1088614
"",736,1031546
"Y",896,1011338
"Y",159,1028506
"Y",642,1041298
"Y",17,1049565
"N",53,1056500
"N",690,1035303
"Y",425,1046337
"Y",614,1042815
"N",578,1047916
"Y",316,1080470
"Y",735,1023940
"N",446,1008867
"Y",234,1043737
"",351,1065654
"Y",677,1006637
"N",214,1087952
"Y",316,1090792
"Y",257,1001245
"Y",292,1092988
"Y",588,1046966
"N",556,1012209
"Y",127,1069749
"N",488,1046268
"",312,1080786
"Y",739,1030777
"N",422,1061253
"Y",126,1057603
"Y",89,1022807
"Y",234,1095857
"Y",180,1075308
"Y",568,1031260
"Y",265,1028893
"N",434,1052371
"Y",211,1079558
"N",556,1038175
"N",246,1086856
"N",505,1038344
"Y",209,1074226
"",227,1088854
"Y",829,1013947
"Y",450,1050452
"",670,1025529
"N",281,1093700
"Y",46,1039343
"Y",689,1036920
"Y",429,1016067
"N",903,1099495
"N",481,1052193
"Y",687,1024043
"N",396,1065764
"N",330,1052520
"",329,1089357
"N",861,1018726
"N",91,1070264
"N",290,1047472
"N",399,1056859
"Y",316,1060860
"N",669,1004429
"Y",726,1003112
"Y",591,1018837
"Y",676,1031367
"N",292,1074845
"",1002,1006809
"",665,1021143
"Y",417,1071489
"Y",886,1009397
"Y",205,1026220
"N",574,1042124
"Y",643,1028261
"N",210,1090514
"Y",265,1032569
"Y",357,1086014
"N",125,1089636
"N",175,1025044
"",317,1070346
"Y",619,1037882
"Y",299,1089087
"Y",778,1020755
"Y",971,1012507
"N",165,1038545
"N",137,1098758
"Y",313,1081379
"N",347,1023782
"N",226,1075620
"Y",419,1061714
"N",177,1046470
"N",688,1024015
"Y",319,1070099
"Y",554,1033914
"Y",435,1010613
"Y",228,1088749
"Y",260,1084037
"Y",580,1041453
"Y",426,1046322
"N",365,1019458
"",319,1060341
"Y",326,1089671
"Y",365,1053092
"Y",327,1058588
"Y",427,1059157
"Y",80,1064686
"Y",636,1029739
"Y",261,1054927
"Y",184,1093097
"N",52,1072464
"N",302,1085059
"N",414,1062491
"Y",121,1004933
"N",493,1045641
"Y",693,1003746
"N",159,1042974
"Y",504,1038385
"N",225,1089033
"N",55,1032737
"N",72,1060803
"N",94,1061577
"Y",282,1043555
"Y",760,1022110
"N",194,1017673
"Y",733,1032563
"N",229,1088674
"Y",118,1066069
"Y",478,1061934
"Y",220,1089537
"Y",327,1077427
"Y",792,1019756
"Y",188,1092707
"Y",1081,1003255
"N",123,1057541
"Y",773,1013727
"",80,1069031
"Y",410,1047875
"Y",316,1080219
"N",58,1055008
"N",21,1009021
"Y",369,1069548
"N",211,1079578
"Y",327,1077461
"Y",229,1093194
"Y",89,1023368
"N",182,1092154
"Y",1301,1098052
"N",528,1046926
"Y",251,1071086
"Y",509,1037957
"Y",659,1026472
"",224,1089159
"Y",797,1015666
"Y",802,1015393
"Y",119,1015387
"Y",635,1023406
"N",407,1073254
"Y",176,1028897
"Y",237,1072758
"Y",317,1070425
"Y",361,1019758
"Y",251,1085890
"Y",203,1001381
"Y",347,1073183
"Y",829,1016508
"Y",277,1093907
"N",116,1008686
"Y",364,1084766
"Y",820,1022199
"Y",964,1002157
"Y",132,1052248
"Y",80,1017539
"N",686,1024173
"Y",413,1054798
"Y",432,1025490
