"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
1695.75,2,"N","DALLAS AREA",1008208
124.5,0,"U","DALLAS AREA",1013047
85.75,0,"U","DALLAS AREA",1089778
168.75,0,"Y","DALLAS AREA",1007540
126.75,0,"N","DALLAS AREA",1023169
1704.5,0,"U","DALLAS AREA",1091010
219.25,7.666666667,"Y","DALLAS AREA",1017691
826.25,8.333333333,"U","DALLAS AREA",1087178
797.5,0,"U","DALLAS AREA",1063658
369,1.333333333,"U","DALLAS AREA",1094469
459.5,0,"N","DALLAS AREA",1097055
1041.75,0.666666667,"N","DALLAS AREA",1006422
699,0.666666667,"U","DALLAS AREA",1027191
267.75,0,"N","DALLAS AREA",1064926
247.5,0,"U","DALLAS AREA",1012613
958.25,0,"U","DALLAS AREA",1018270
252,0,"U","DALLAS AREA",1077541
317.5,8.333333333,"U","DALLAS AREA",1072942
0,0.666666667,"U","DALLAS AREA",1038366
169.75,0,"U","DALLAS AREA",1008422
372.5,0.333333333,"Y","DALLAS AREA",1035814
172.75,0,"Y","DALLAS AREA",1082770
696.25,0,"U","DALLAS AREA",1009116
397.5,0,"U","DALLAS AREA",1032046
671.25,0,"N","DALLAS AREA",1048051
41.5,1,"N","DALLAS AREA",1049122
497.5,0,"U","DALLAS AREA",1085363
743.25,0,"U","DALLAS AREA",1075421
68.75,0,"Y","DALLAS AREA",1089792
687.5,0,"Y","DALLAS AREA",1022624
113.75,0,"Y","DALLAS AREA",1007850
84.25,0,"U","DALLAS AREA",1023350
63,0.333333333,"Y","DALLAS AREA",1001602
1570.25,0,"U","DALLAS AREA",1013725
789.75,1.333333333,"U","DALLAS AREA",1087651
254.75,5.666666667,"U","DALLAS AREA",1060313
14.75,0,"Y","DALLAS AREA",1025224
609.5,0,"U","DALLAS AREA",1076969
580.25,0.666666667,"Y","DALLAS AREA",1033738
4.25,0,"U","DALLAS AREA",1050684
872.75,0,"Y","DALLAS AREA",1059643
255.75,0,"N","DALLAS AREA",1016239
1014.25,4.666666667,"U","DALLAS AREA",1049379
250.75,0.333333333,"Y","DALLAS AREA",1027419
1372,0,"U","DALLAS AREA",1058221
241.75,0,"N","DALLAS AREA",1000072
344.5,0,"N","DALLAS AREA",1020133
77,0,"N","DALLAS AREA",1064764
1368.25,5.333333333,"U","DALLAS AREA",1046359
0,0,"U","DALLAS AREA",1007908
615,3.666666667,"Y","DALLAS AREA",1056193
559.25,0,"U","DALLAS AREA",1017319
205.25,1,"U","DALLAS AREA",1021794
315,0,"U","DALLAS AREA",1067773
970.25,0,"U","DALLAS AREA",1056980
775.5,0,"U","DALLAS AREA",1069685
968.5,2.333333333,"U","DALLAS AREA",1039228
39.5,0,"U","DALLAS AREA",1007629
43.25,0,"U","DALLAS AREA",1076815
128.25,0,"Y","DALLAS AREA",1041454
912,0.333333333,"U","DALLAS AREA",1089641
888.75,4,"N","DALLAS AREA",1063977
374.75,0,"N","DALLAS AREA",1024323
75.75,0,"U","DALLAS AREA",1085070
1138.5,7,"U","DALLAS AREA",1068141
750.25,12.66666667,"U","DALLAS AREA",1063991
151,0,"U","DALLAS AREA",1008426
2088.75,2,"U","DALLAS AREA",1087721
558.25,1.666666667,"U","DALLAS AREA",1060830
666.5,1,"U","DALLAS AREA",1027755
300.5,0,"U","DALLAS AREA",1018650
116,0,"U","DALLAS AREA",1086372
25.25,0,"Y","DALLAS AREA",1028403
544,4.333333333,"U","DALLAS AREA",1065018
383.5,0,"Y","DALLAS AREA",1072874
