"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
793,0,"U","DC-MARYLAND-VIRGINIA AREA",1045239
10.75,0,"Y","DC-MARYLAND-VIRGINIA AREA",1016607
413,0,"N","DC-MARYLAND-VIRGINIA AREA",1015068
992.25,2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1076198
381,0,"U","DC-MARYLAND-VIRGINIA AREA",1028649
11.5,0,"Y","DC-MARYLAND-VIRGINIA AREA",1077754
1135.25,7,"N","DC-MARYLAND-VIRGINIA AREA",1085015
879.25,4.333333333,"N","DC-MARYLAND-VIRGINIA AREA",1028674
250.5,0,"Y","DC-MARYLAND-VIRGINIA AREA",1060840
2824.75,5,"Y","DC-MARYLAND-VIRGINIA AREA",1079795
700.25,0,"U","DC-MARYLAND-VIRGINIA AREA",1065210
54,0,"U","DC-MARYLAND-VIRGINIA AREA",1094369
314.75,0,"U","DC-MARYLAND-VIRGINIA AREA",1079861
221.25,0,"U","DC-MARYLAND-VIRGINIA AREA",1074541
314.5,0,"Y","DC-MARYLAND-VIRGINIA AREA",1007748
172,0,"U","DC-MARYLAND-VIRGINIA AREA",1075065
297.5,2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1054066
150,5.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1042885
555,9.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1088306
1336.25,14.33333333,"U","DC-MARYLAND-VIRGINIA AREA",1088241
1602,10,"U","DC-MARYLAND-VIRGINIA AREA",1047699
587,3.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1096980
588.75,0,"U","DC-MARYLAND-VIRGINIA AREA",1017671
676,0,"N","DC-MARYLAND-VIRGINIA AREA",1017425
118.5,0,"N","DC-MARYLAND-VIRGINIA AREA",1051380
6.5,0,"Y","DC-MARYLAND-VIRGINIA AREA",1034511
236.5,0,"U","DC-MARYLAND-VIRGINIA AREA",1089748
1073.75,7.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1086436
299.75,0,"U","DC-MARYLAND-VIRGINIA AREA",1030822
764.25,14,"U","DC-MARYLAND-VIRGINIA AREA",1074795
24,0,"U","DC-MARYLAND-VIRGINIA AREA",1045676
235.75,0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1020796
231,2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1030346
150,0,"U","DC-MARYLAND-VIRGINIA AREA",1064472
648.75,4.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1050240
99.75,0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1055472
1122.5,2.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1038579
433.25,0,"Y","DC-MARYLAND-VIRGINIA AREA",1061215
36.25,13,"Y","DC-MARYLAND-VIRGINIA AREA",1002837
381.5,0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1086805
132.25,0,"U","DC-MARYLAND-VIRGINIA AREA",1019547
695,2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1020287
410,3.666666667,"Y","DC-MARYLAND-VIRGINIA AREA",1084093
129.75,0.333333333,"N","DC-MARYLAND-VIRGINIA AREA",1024492
147.5,0,"Y","DC-MARYLAND-VIRGINIA AREA",1044211
488,2.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1039785
404.5,0,"Y","DC-MARYLAND-VIRGINIA AREA",1085213
5.25,0,"U","DC-MARYLAND-VIRGINIA AREA",1027292
378.25,0.666666667,"U","DC-MARYLAND-VIRGINIA AREA",1031353
912,0,"U","DC-MARYLAND-VIRGINIA AREA",1044297
420.5,1.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1024369
581.25,1,"U","DC-MARYLAND-VIRGINIA AREA",1012528
348.5,0,"Y","DC-MARYLAND-VIRGINIA AREA",1021351
575.5,0.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1011167
178.75,0,"U","DC-MARYLAND-VIRGINIA AREA",1093702
230.75,0,"U","DC-MARYLAND-VIRGINIA AREA",1068387
342,0,"Y","DC-MARYLAND-VIRGINIA AREA",1055931
685.5,1.333333333,"Y","DC-MARYLAND-VIRGINIA AREA",1045731
787.75,1.333333333,"U","DC-MARYLAND-VIRGINIA AREA",1035807
