"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
353,0,"U","GREAT LAKES AREA",1046584
1168.5,0,"U","GREAT LAKES AREA",1023685
56,0,"U","GREAT LAKES AREA",1035097
438.5,1.666666667,"Y","GREAT LAKES AREA",1011051
1854.75,7,"N","GREAT LAKES AREA",1011205
45.75,0,"U","GREAT LAKES AREA",1015584
197,0,"U","GREAT LAKES AREA",1038121
210,0,"N","GREAT LAKES AREA",1012932
61,0,"U","GREAT LAKES AREA",1018201
138.5,0,"N","GREAT LAKES AREA",1062478
6.75,0,"Y","GREAT LAKES AREA",1006223
103.25,0,"Y","GREAT LAKES AREA",1033727
146.5,0,"U","GREAT LAKES AREA",1026030
0,0,"N","GREAT LAKES AREA",1003786
365,3,"N","GREAT LAKES AREA",1036553
64.75,0,"U","GREAT LAKES AREA",1096855
179.75,0,"N","GREAT LAKES AREA",1060351
1244,0.333333333,"U","GREAT LAKES AREA",1049457
327.25,3.333333333,"U","GREAT LAKES AREA",1062662
1314.75,7,"Y","GREAT LAKES AREA",1058486
261.5,0,"U","GREAT LAKES AREA",1065512
671,10,"U","GREAT LAKES AREA",1091266
17.5,0,"U","GREAT LAKES AREA",1041810
902.75,7,"U","GREAT LAKES AREA",1046882
1273,0.333333333,"Y","GREAT LAKES AREA",1011005
167.25,0,"U","GREAT LAKES AREA",1036711
8.25,0,"U","GREAT LAKES AREA",1095708
36,0,"U","GREAT LAKES AREA",1081326
37.25,0,"Y","GREAT LAKES AREA",1012561
816,1.333333333,"U","GREAT LAKES AREA",1074609
492.75,14.66666667,"Y","GREAT LAKES AREA",1001452
103,0,"N","GREAT LAKES AREA",1051113
186,0,"N","GREAT LAKES AREA",1001487
404.75,6.333333333,"U","GREAT LAKES AREA",1079987
1892.5,4.666666667,"U","GREAT LAKES AREA",1072070
372,1.333333333,"U","GREAT LAKES AREA",1032541
306.5,9,"Y","GREAT LAKES AREA",1019514
179,0,"Y","GREAT LAKES AREA",1015265
182.75,0,"U","GREAT LAKES AREA",1069579
304.6666667,0.333333333,"Y","GREAT LAKES AREA",1018668
277.25,0.666666667,"U","GREAT LAKES AREA",1024722
131,0,"Y","GREAT LAKES AREA",1050126
823.5,9.333333333,"U","GREAT LAKES AREA",1074103
894.5,17.66666667,"U","GREAT LAKES AREA",1070517
182.5,0,"U","GREAT LAKES AREA",1012860
722,0.333333333,"N","GREAT LAKES AREA",1039294
1035.25,1.333333333,"N","GREAT LAKES AREA",1035152
278.75,0.666666667,"Y","GREAT LAKES AREA",1077937
866.75,1.333333333,"Y","GREAT LAKES AREA",1060007
