"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
906.25,6.333333333,"U","HOUSTON AREA",1088984
321.75,0,"U","HOUSTON AREA",1013751
504.75,11.33333333,"Y","HOUSTON AREA",1001867
75.75,0,"N","HOUSTON AREA",1007086
2841,0,"N","HOUSTON AREA",1049782
415.25,0,"U","HOUSTON AREA",1081581
162.5,0,"U","HOUSTON AREA",1023631
873.25,0.333333333,"U","HOUSTON AREA",1062289
610,0,"U","HOUSTON AREA",1097212
342.75,0,"U","HOUSTON AREA",1048099
309,0,"U","HOUSTON AREA",1017192
140,0,"U","HOUSTON AREA",1065051
16,0,"U","HOUSTON AREA",1088350
365.75,0,"Y","HOUSTON AREA",1034736
439.75,2.333333333,"N","HOUSTON AREA",1091134
1027.25,0,"U","HOUSTON AREA",1028216
461.5,0,"U","HOUSTON AREA",1065467
577.5,0,"Y","HOUSTON AREA",1011113
239.5,0,"N","HOUSTON AREA",1027652
825,0.333333333,"U","HOUSTON AREA",1090520
26.5,0,"U","HOUSTON AREA",1023699
171.5,0,"Y","HOUSTON AREA",1014283
190.75,0,"N","HOUSTON AREA",1007567
856.25,3.666666667,"U","HOUSTON AREA",1078031
NA,0,"U","HOUSTON AREA",1017744
1227.5,6.333333333,"Y","HOUSTON AREA",1092860
2516,0.333333333,"Y","HOUSTON AREA",1016407
733.75,0,"N","HOUSTON AREA",1037309
514,0,"U","HOUSTON AREA",1054882
473.5,0,"U","HOUSTON AREA",1015104
0.25,0,"Y","HOUSTON AREA",1007985
1161,0,"Y","HOUSTON AREA",1000211
1064,4.666666667,"U","HOUSTON AREA",1075511
890,29.66666667,"N","HOUSTON AREA",1004658
234.5,4,"U","HOUSTON AREA",1009578
62.5,0,"U","HOUSTON AREA",1084660
890.75,1,"Y","HOUSTON AREA",1087631
115.75,0.333333333,"U","HOUSTON AREA",1053953
957.75,1.333333333,"U","HOUSTON AREA",1018901
1380.25,1.333333333,"U","HOUSTON AREA",1045383
1066,0,"U","HOUSTON AREA",1045499
507,0,"N","HOUSTON AREA",1043665
