"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
177.25,0,"Y","LOS ANGELES AREA",1020126
323.25,1,"Y","LOS ANGELES AREA",1040941
2168.25,0,"U","LOS ANGELES AREA",1015658
402.25,14.33333333,"U","LOS ANGELES AREA",1088347
8.25,0,"U","LOS ANGELES AREA",1019146
148.75,0,"U","LOS ANGELES AREA",1048761
379.5,0,"U","LOS ANGELES AREA",1063964
13.25,0,"U","LOS ANGELES AREA",1099007
141.5,0,"U","LOS ANGELES AREA",1090168
1381.75,16.66666667,"U","LOS ANGELES AREA",1099059
94,0,"U","LOS ANGELES AREA",1099655
332,0,"U","LOS ANGELES AREA",1099039
1568.75,6,"U","LOS ANGELES AREA",1098085
980.75,1,"N","LOS ANGELES AREA",1055172
9.25,0,"U","LOS ANGELES AREA",1096953
1420.5,0.666666667,"U","LOS ANGELES AREA",1073746
6,0.333333333,"U","LOS ANGELES AREA",1050920
170,0,"U","LOS ANGELES AREA",1030527
1,2,"U","LOS ANGELES AREA",1090433
1285,18,"U","LOS ANGELES AREA",1029681
240,0,"U","LOS ANGELES AREA",1092224
13.25,0,"U","LOS ANGELES AREA",1098102
699.5,0,"U","LOS ANGELES AREA",1069709
40.25,0,"U","LOS ANGELES AREA",1031618
311.25,0,"U","LOS ANGELES AREA",1055842
1364.75,9.333333333,"U","LOS ANGELES AREA",1064729
204.75,1,"U","LOS ANGELES AREA",1031281
NA,0,"U","LOS ANGELES AREA",1099670
903.75,0.333333333,"U","LOS ANGELES AREA",1043233
867.25,1.333333333,"N","LOS ANGELES AREA",1063175
466.5,0,"U","LOS ANGELES AREA",1035132
405.5,10.66666667,"U","LOS ANGELES AREA",1031052
702,1,"U","LOS ANGELES AREA",1081483
4,0,"U","LOS ANGELES AREA",1098739
238.5,3.666666667,"U","LOS ANGELES AREA",1058333
180,0,"U","LOS ANGELES AREA",1051501
29.66666667,0,"U","LOS ANGELES AREA",1099161
254.25,0,"N","LOS ANGELES AREA",1026740
354.75,0,"U","LOS ANGELES AREA",1080558
684.5,2,"U","LOS ANGELES AREA",1062316
647,0.333333333,"U","LOS ANGELES AREA",1061002
848.5,0,"U","LOS ANGELES AREA",1028648
163.75,0.666666667,"U","LOS ANGELES AREA",1040562
232.75,0,"U","LOS ANGELES AREA",1073784
420,7.333333333,"Y","LOS ANGELES AREA",1033216
268,1.666666667,"U","LOS ANGELES AREA",1037073
883.25,0.666666667,"Y","LOS ANGELES AREA",1036119
733,0,"U","LOS ANGELES AREA",1070707
443,1.333333333,"Y","LOS ANGELES AREA",1048538
653.75,0,"U","LOS ANGELES AREA",1043217
1031.5,0.666666667,"U","LOS ANGELES AREA",1014824
1242,1.666666667,"U","LOS ANGELES AREA",1023874
970.25,2,"Y","LOS ANGELES AREA",1035287
152.5,0,"U","LOS ANGELES AREA",1043384
265.75,0,"U","LOS ANGELES AREA",1076356
290.75,0,"U","LOS ANGELES AREA",1029517
542,9,"U","LOS ANGELES AREA",1036149
447,9.333333333,"U","LOS ANGELES AREA",1071238
328.5,8.333333333,"U","LOS ANGELES AREA",1021647
269.25,0.666666667,"U","LOS ANGELES AREA",1074482
1215,7.666666667,"U","LOS ANGELES AREA",1072979
401.5,0,"U","LOS ANGELES AREA",1074677
0,0,"U","LOS ANGELES AREA",1055309
189,0.666666667,"U","LOS ANGELES AREA",1029288
978.5,0,"U","LOS ANGELES AREA",1091503
146,0.333333333,"U","LOS ANGELES AREA",1023294
796.25,10.33333333,"U","LOS ANGELES AREA",1093337
0,0,"U","LOS ANGELES AREA",1069500
866.25,0.666666667,"U","LOS ANGELES AREA",1087132
33,0,"U","LOS ANGELES AREA",1099615
55.75,0,"U","LOS ANGELES AREA",1098223
274,0,"U","LOS ANGELES AREA",1056719
284,1.333333333,"U","LOS ANGELES AREA",1023644
204.25,0,"U","LOS ANGELES AREA",1019018
0,0,"N","LOS ANGELES AREA",1026182
772.25,7.666666667,"U","LOS ANGELES AREA",1058620
133,0,"N","LOS ANGELES AREA",1026312
305.5,0,"U","LOS ANGELES AREA",1058448
68,6.666666667,"U","LOS ANGELES AREA",1090666
300.25,0,"U","LOS ANGELES AREA",1067341
1648.25,0,"U","LOS ANGELES AREA",1099646
621,0.666666667,"U","LOS ANGELES AREA",1098280
114.75,1,"U","LOS ANGELES AREA",1022340
605.5,0,"U","LOS ANGELES AREA",1040804
50.25,0,"U","LOS ANGELES AREA",1098329
27.5,0,"U","LOS ANGELES AREA",1076934
0,0,"U","LOS ANGELES AREA",1073200
277,1.666666667,"U","LOS ANGELES AREA",1032650
422.75,0,"U","LOS ANGELES AREA",1071772
108.25,0,"U","LOS ANGELES AREA",1070325
23.25,13.66666667,"U","LOS ANGELES AREA",1023829
537.25,0,"Y","LOS ANGELES AREA",1020025
696.5,4.666666667,"Y","LOS ANGELES AREA",1024042
