"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
376.25,0,"U","MIDWEST AREA",1056697
686.5,4,"U","MIDWEST AREA",1072218
387.5,0,"Y","MIDWEST AREA",1005704
90.75,0,"U","MIDWEST AREA",1040496
685,1.666666667,"N","MIDWEST AREA",1050396
702.5,1,"N","MIDWEST AREA",1033811
17.25,0,"U","MIDWEST AREA",1023352
251.25,0.333333333,"Y","MIDWEST AREA",1007795
27.5,0,"U","MIDWEST AREA",1076178
338.25,0,"N","MIDWEST AREA",1038161
83.5,0,"N","MIDWEST AREA",1089735
549,1.666666667,"U","MIDWEST AREA",1062868
545.25,0,"U","MIDWEST AREA",1095059
187.25,0,"U","MIDWEST AREA",1044645
587.75,0,"N","MIDWEST AREA",1020430
930.25,0.333333333,"U","MIDWEST AREA",1012204
457.25,0.666666667,"U","MIDWEST AREA",1029607
1088.25,0.333333333,"Y","MIDWEST AREA",1002619
132.25,0,"U","MIDWEST AREA",1082548
231.5,0,"N","MIDWEST AREA",1022995
475.25,0,"N","MIDWEST AREA",1003041
303.75,0,"U","MIDWEST AREA",1037262
285.5,0,"U","MIDWEST AREA",1003795
108.75,0,"U","MIDWEST AREA",1083897
1292,3.666666667,"Y","MIDWEST AREA",1052205
22,0,"U","MIDWEST AREA",1074162
1149.75,0,"N","MIDWEST AREA",1001813
405,1.333333333,"U","MIDWEST AREA",1027304
1070.25,0,"U","MIDWEST AREA",1069133
439.25,0,"Y","MIDWEST AREA",1008664
574,4.666666667,"U","MIDWEST AREA",1090135
32.5,3.333333333,"Y","MIDWEST AREA",1094482
650.5,0,"U","MIDWEST AREA",1069917
12.75,0,"U","MIDWEST AREA",1005263
658.5,0,"U","MIDWEST AREA",1008625
1077.75,0,"N","MIDWEST AREA",1053006
629.3333333,1.666666667,"U","MIDWEST AREA",1031126
381.5,0,"U","MIDWEST AREA",1019269
257.75,2.666666667,"U","MIDWEST AREA",1030440
370.5,0,"U","MIDWEST AREA",1017251
253.25,0,"N","MIDWEST AREA",1076337
0,0,"U","MIDWEST AREA",1000672
283.25,1,"Y","MIDWEST AREA",1086866
2736.5,30,"U","MIDWEST AREA",1069830
21.5,0,"Y","MIDWEST AREA",1037171
62,0,"U","MIDWEST AREA",1096403
1125.5,9,"Y","MIDWEST AREA",1085702
1532.25,0.333333333,"Y","MIDWEST AREA",1062384
509,10.33333333,"Y","MIDWEST AREA",1033198
1011.666667,14.66666667,"Y","MIDWEST AREA",1020189
1731,9.666666667,"Y","MIDWEST AREA",1049057
103,0,"U","MIDWEST AREA",1013661
7,0,"U","MIDWEST AREA",1010730
295.25,7,"N","MIDWEST AREA",1037622
438.25,0,"U","MIDWEST AREA",1093259
46.5,0,"N","MIDWEST AREA",1001890
1035.75,9.333333333,"U","MIDWEST AREA",1043962
38.25,0,"U","MIDWEST AREA",1052845
656.25,2.666666667,"U","MIDWEST AREA",1039305
255.75,1.333333333,"U","MIDWEST AREA",1026475
996.5,7.666666667,"N","MIDWEST AREA",1035356
57.75,0,"N","MIDWEST AREA",1027056
54.75,0,"Y","MIDWEST AREA",1016589
520.25,0,"U","MIDWEST AREA",1082295
