"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
299.5,14.33333333,"U","NEW ENGLAND AREA",1082423
98,0,"U","NEW ENGLAND AREA",1076771
150,0,"U","NEW ENGLAND AREA",1083737
349.25,0,"N","NEW ENGLAND AREA",1078557
739.5,2,"N","NEW ENGLAND AREA",1018015
26.75,0,"U","NEW ENGLAND AREA",1005998
656.5,0,"U","NEW ENGLAND AREA",1076112
516.25,0,"U","NEW ENGLAND AREA",1027338
331.75,0,"Y","NEW ENGLAND AREA",1054933
0.25,0,"U","NEW ENGLAND AREA",1059340
150.5,0,"U","NEW ENGLAND AREA",1048824
100,0,"Y","NEW ENGLAND AREA",1062791
985.25,0,"U","NEW ENGLAND AREA",1091035
290.75,0,"U","NEW ENGLAND AREA",1065784
115.75,0,"U","NEW ENGLAND AREA",1066989
0.5,0,"U","NEW ENGLAND AREA",1078433
208,0.666666667,"U","NEW ENGLAND AREA",1047480
250.5,0,"N","NEW ENGLAND AREA",1045008
38.5,0,"U","NEW ENGLAND AREA",1018300
71.75,0,"Y","NEW ENGLAND AREA",1075392
225,0,"U","NEW ENGLAND AREA",1035670
0,0,"Y","NEW ENGLAND AREA",1072414
66.75,0,"U","NEW ENGLAND AREA",1031169
266,0,"U","NEW ENGLAND AREA",1084123
79,0,"Y","NEW ENGLAND AREA",1024391
858.25,0.666666667,"U","NEW ENGLAND AREA",1034322
307,0,"N","NEW ENGLAND AREA",1064429
126,0,"Y","NEW ENGLAND AREA",1077764
598.75,0,"U","NEW ENGLAND AREA",1073848
186.25,0,"U","NEW ENGLAND AREA",1086331
1.75,0,"U","NEW ENGLAND AREA",1064918
78.25,0,"U","NEW ENGLAND AREA",1047927
347.5,0,"U","NEW ENGLAND AREA",1015855
17.75,0.333333333,"U","NEW ENGLAND AREA",1046945
136.25,0.666666667,"U","NEW ENGLAND AREA",1038869
428.25,0,"Y","NEW ENGLAND AREA",1049509
1193.5,3,"U","NEW ENGLAND AREA",1095329
375.25,0,"U","NEW ENGLAND AREA",1071708
405.5,0,"N","NEW ENGLAND AREA",1032517
216.75,0,"Y","NEW ENGLAND AREA",1023196
664.5,0,"U","NEW ENGLAND AREA",1047576
505.5,0,"Y","NEW ENGLAND AREA",1065829
123.5,0,"U","NEW ENGLAND AREA",1024129
905,3,"Y","NEW ENGLAND AREA",1038657
495.75,0,"U","NEW ENGLAND AREA",1072459
714.75,0,"U","NEW ENGLAND AREA",1006240
382.75,0.666666667,"U","NEW ENGLAND AREA",1062490
54.5,0,"Y","NEW ENGLAND AREA",1017605
463.25,4,"U","NEW ENGLAND AREA",1030731
33,0,"Y","NEW ENGLAND AREA",1088025
143.5,0,"U","NEW ENGLAND AREA",1071161
593.25,0,"Y","NEW ENGLAND AREA",1081192
237.75,0,"U","NEW ENGLAND AREA",1046053
647.75,0,"Y","NEW ENGLAND AREA",1062695
447.25,0.666666667,"U","NEW ENGLAND AREA",1020153
503,3,"Y","NEW ENGLAND AREA",1034574
131,0,"Y","NEW ENGLAND AREA",1090109
865.75,7.666666667,"U","NEW ENGLAND AREA",1007907
493.5,0,"Y","NEW ENGLAND AREA",1013356
57.5,0,"U","NEW ENGLAND AREA",1045650
60.75,0.666666667,"U","NEW ENGLAND AREA",1092520
966.25,8.333333333,"Y","NEW ENGLAND AREA",1010189
91.25,0,"U","NEW ENGLAND AREA",1011918
1000.75,4,"U","NEW ENGLAND AREA",1092027
531.5,0,"U","NEW ENGLAND AREA",1058733
118.75,0,"Y","NEW ENGLAND AREA",1042114
557.5,2.333333333,"N","NEW ENGLAND AREA",1006220
34.75,0,"N","NEW ENGLAND AREA",1044348
1939.75,0,"Y","NEW ENGLAND AREA",1036167
622.75,0,"Y","NEW ENGLAND AREA",1012890
212,2.666666667,"U","NEW ENGLAND AREA",1083377
781,0.666666667,"U","NEW ENGLAND AREA",1025637
336.5,10,"U","NEW ENGLAND AREA",1031213
963,2.666666667,"N","NEW ENGLAND AREA",1084101
28.75,0,"U","NEW ENGLAND AREA",1033132
318.25,0,"U","NEW ENGLAND AREA",1040155
1616.75,0,"N","NEW ENGLAND AREA",1017887
842.75,1.666666667,"U","NEW ENGLAND AREA",1057948
297.5,0.666666667,"U","NEW ENGLAND AREA",1042848
667.25,0,"N","NEW ENGLAND AREA",1051003
38.5,0,"U","NEW ENGLAND AREA",1070845
8.333333333,0,"U","NEW ENGLAND AREA",1088578
846.5,4.333333333,"U","NEW ENGLAND AREA",1042671
1279.25,10,"Y","NEW ENGLAND AREA",1084648
73.75,0.666666667,"U","NEW ENGLAND AREA",1035511
737,0,"Y","NEW ENGLAND AREA",1029570
974.75,4,"U","NEW ENGLAND AREA",1060378
598.75,0,"U","NEW ENGLAND AREA",1092945
21,0,"Y","NEW ENGLAND AREA",1037711
832.5,0.666666667,"U","NEW ENGLAND AREA",1034084
267.75,8.666666667,"N","NEW ENGLAND AREA",1023635
82,0,"U","NEW ENGLAND AREA",1038650
1462.75,2,"U","NEW ENGLAND AREA",1056603
787.75,0,"U","NEW ENGLAND AREA",1062373
898.5,0,"U","NEW ENGLAND AREA",1012586
186.5,0,"U","NEW ENGLAND AREA",1093141
566.75,2.333333333,"N","NEW ENGLAND AREA",1020706
241,2,"Y","NEW ENGLAND AREA",1090121
1438.75,11,"Y","NEW ENGLAND AREA",1059146
187.25,0,"N","NEW ENGLAND AREA",1013848
291,0,"U","NEW ENGLAND AREA",1044054
265.5,0.666666667,"U","NEW ENGLAND AREA",1003955
72.5,0,"N","NEW ENGLAND AREA",1001606
557,0,"U","NEW ENGLAND AREA",1043011
1671.75,8,"Y","NEW ENGLAND AREA",1087989
818.5,3.666666667,"U","NEW ENGLAND AREA",1079668
201,2,"N","NEW ENGLAND AREA",1075134
47.75,0,"U","NEW ENGLAND AREA",1070823
1612,2.666666667,"U","NEW ENGLAND AREA",1097255
59,0,"U","NEW ENGLAND AREA",1022715
224.5,0,"U","NEW ENGLAND AREA",1025944
500,4.333333333,"U","NEW ENGLAND AREA",1073931
129.5,0,"U","NEW ENGLAND AREA",1021308
1067,2,"U","NEW ENGLAND AREA",1058361
265.75,0,"U","NEW ENGLAND AREA",1084134
1018.25,4.333333333,"U","NEW ENGLAND AREA",1086597
272.75,0.333333333,"Y","NEW ENGLAND AREA",1003505
1102.5,0,"U","NEW ENGLAND AREA",1048627
132.25,0,"Y","NEW ENGLAND AREA",1030445
871.5,15.66666667,"U","NEW ENGLAND AREA",1054250
338.75,1,"U","NEW ENGLAND AREA",1078335
2045.25,3,"Y","NEW ENGLAND AREA",1002097
470.5,0,"U","NEW ENGLAND AREA",1096805
330.5,1.666666667,"U","NEW ENGLAND AREA",1042693
205,0,"U","NEW ENGLAND AREA",1061631
147.5,0,"U","NEW ENGLAND AREA",1049853
263.5,0,"U","NEW ENGLAND AREA",1082353
134.5,0,"U","NEW ENGLAND AREA",1030016
520.25,3.333333333,"U","NEW ENGLAND AREA",1037467
296.25,2.333333333,"U","NEW ENGLAND AREA",1032262
203,0,"U","NEW ENGLAND AREA",1077572
98.75,0.333333333,"U","NEW ENGLAND AREA",1074532
178.25,2.333333333,"U","NEW ENGLAND AREA",1032259
789.25,0,"U","NEW ENGLAND AREA",1061224
335,0,"U","NEW ENGLAND AREA",1047836
804.75,0.333333333,"U","NEW ENGLAND AREA",1024144
717.25,0,"U","NEW ENGLAND AREA",1088201
268.75,0,"Y","NEW ENGLAND AREA",1067484
300,2,"N","NEW ENGLAND AREA",1005038
942.25,2,"U","NEW ENGLAND AREA",1047036
10,0,"U","NEW ENGLAND AREA",1038785
436.5,1.666666667,"U","NEW ENGLAND AREA",1072268
133.75,0,"N","NEW ENGLAND AREA",1015461
192.25,0,"U","NEW ENGLAND AREA",1048214
214,0,"N","NEW ENGLAND AREA",1070928
345,0,"U","NEW ENGLAND AREA",1038513
75.25,0,"U","NEW ENGLAND AREA",1059577
383.75,0,"U","NEW ENGLAND AREA",1020950
236.25,0,"U","NEW ENGLAND AREA",1064537
406.75,1.333333333,"U","NEW ENGLAND AREA",1029183
145.75,6.666666667,"N","NEW ENGLAND AREA",1036089
164.5,0.333333333,"U","NEW ENGLAND AREA",1061186
944.25,2.333333333,"U","NEW ENGLAND AREA",1076388
192.5,0,"N","NEW ENGLAND AREA",1072634
121,0,"U","NEW ENGLAND AREA",1087751
3423.75,0,"U","NEW ENGLAND AREA",1026710
91.5,0,"U","NEW ENGLAND AREA",1022783
226,8.666666667,"Y","NEW ENGLAND AREA",1045117
64.75,0,"U","NEW ENGLAND AREA",1087169
248,0,"U","NEW ENGLAND AREA",1093698
300,0,"U","NEW ENGLAND AREA",1094563
794,3,"U","NEW ENGLAND AREA",1058284
823,0.333333333,"U","NEW ENGLAND AREA",1092658
608,0,"N","NEW ENGLAND AREA",1000029
676.5,1,"U","NEW ENGLAND AREA",1013923
25,1.666666667,"U","NEW ENGLAND AREA",1050078
259.75,4,"U","NEW ENGLAND AREA",1096062
188.25,0.333333333,"N","NEW ENGLAND AREA",1063651
118.75,0.333333333,"U","NEW ENGLAND AREA",1038430
111.5,3,"U","NEW ENGLAND AREA",1013080
5.25,0,"Y","NEW ENGLAND AREA",1004419
256.25,0,"N","NEW ENGLAND AREA",1041956
6.5,0,"U","NEW ENGLAND AREA",1060597
682.25,7.333333333,"U","NEW ENGLAND AREA",1089049
422.5,1.333333333,"U","NEW ENGLAND AREA",1027409
36.75,0,"U","NEW ENGLAND AREA",1094932
1829,13,"U","NEW ENGLAND AREA",1096392
1142.5,0,"N","NEW ENGLAND AREA",1038368
