"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
345,3,"U","NEW YORK CITY AREA",1031705
772.75,7,"U","NEW YORK CITY AREA",1091652
44.25,0.333333333,"Y","NEW YORK CITY AREA",1013855
451.5,11.66666667,"Y","NEW YORK CITY AREA",1055064
128,0,"U","NEW YORK CITY AREA",1062755
1197.75,1,"U","NEW YORK CITY AREA",1086911
571,2,"U","NEW YORK CITY AREA",1027630
153.25,0,"N","NEW YORK CITY AREA",1049266
58.75,0,"Y","NEW YORK CITY AREA",1028772
112,1.333333333,"U","NEW YORK CITY AREA",1018335
984.5,1.333333333,"U","NEW YORK CITY AREA",1089902
155.75,0.333333333,"N","NEW YORK CITY AREA",1047944
19,0,"Y","NEW YORK CITY AREA",1017236
33.25,0,"U","NEW YORK CITY AREA",1021284
385.5,6.666666667,"U","NEW YORK CITY AREA",1032537
32.5,0,"Y","NEW YORK CITY AREA",1065065
774.25,0,"U","NEW YORK CITY AREA",1066934
89,0,"U","NEW YORK CITY AREA",1017405
475.75,0.666666667,"Y","NEW YORK CITY AREA",1034603
332.5,0,"Y","NEW YORK CITY AREA",1021722
660.75,0,"Y","NEW YORK CITY AREA",1015715
619.25,0.333333333,"Y","NEW YORK CITY AREA",1025682
116.25,0,"U","NEW YORK CITY AREA",1041906
198.25,0,"N","NEW YORK CITY AREA",1015682
528,0.666666667,"U","NEW YORK CITY AREA",1033966
423.5,0,"U","NEW YORK CITY AREA",1057695
1429.5,6,"Y","NEW YORK CITY AREA",1035849
544.25,0,"U","NEW YORK CITY AREA",1052776
1504.75,27.66666667,"U","NEW YORK CITY AREA",1080979
108.25,0,"U","NEW YORK CITY AREA",1031092
818.25,8.333333333,"U","NEW YORK CITY AREA",1093205
20.25,0.333333333,"U","NEW YORK CITY AREA",1035552
1586.5,0,"N","NEW YORK CITY AREA",1007984
1618,1.666666667,"N","NEW YORK CITY AREA",1071057
52.75,0,"U","NEW YORK CITY AREA",1083624
246.25,0,"U","NEW YORK CITY AREA",1018980
58.5,0,"Y","NEW YORK CITY AREA",1039221
412,0,"N","NEW YORK CITY AREA",1068435
52.5,0,"U","NEW YORK CITY AREA",1041879
347.25,2.666666667,"U","NEW YORK CITY AREA",1057302
25.5,2,"U","NEW YORK CITY AREA",1033802
214.75,4,"U","NEW YORK CITY AREA",1055424
1774.75,11,"U","NEW YORK CITY AREA",1056945
378.75,0,"U","NEW YORK CITY AREA",1011689
524.75,1.666666667,"N","NEW YORK CITY AREA",1035416
390.5,4,"U","NEW YORK CITY AREA",1077297
731.25,0,"U","NEW YORK CITY AREA",1084884
2035,14.33333333,"U","NEW YORK CITY AREA",1078621
974.75,0.666666667,"N","NEW YORK CITY AREA",1015789
950.5,0,"U","NEW YORK CITY AREA",1073424
552.25,0,"Y","NEW YORK CITY AREA",1026134
508,0,"U","NEW YORK CITY AREA",1050824
73.25,0,"Y","NEW YORK CITY AREA",1009771
2161.75,2.333333333,"U","NEW YORK CITY AREA",1064221
973.25,0,"U","NEW YORK CITY AREA",1050577
40.75,1,"U","NEW YORK CITY AREA",1005730
296,0,"N","NEW YORK CITY AREA",1037162
331.5,4,"U","NEW YORK CITY AREA",1018653
387.75,0.666666667,"Y","NEW YORK CITY AREA",1054125
745,2,"Y","NEW YORK CITY AREA",1028714
179.25,1,"Y","NEW YORK CITY AREA",1023880
191.25,0,"Y","NEW YORK CITY AREA",1069208
95,0,"N","NEW YORK CITY AREA",1063745
189.75,0,"U","NEW YORK CITY AREA",1041817
998.5,2.666666667,"N","NEW YORK CITY AREA",1058076
1150.25,1.333333333,"U","NEW YORK CITY AREA",1059172
387.75,0,"U","NEW YORK CITY AREA",1051993
962.75,2.333333333,"U","NEW YORK CITY AREA",1039182
152,0,"U","NEW YORK CITY AREA",1094080
100.25,0,"N","NEW YORK CITY AREA",1089728
404.5,2,"Y","NEW YORK CITY AREA",1001979
432.5,0,"Y","NEW YORK CITY AREA",1089543
159.25,0,"U","NEW YORK CITY AREA",1075263
62,0,"U","NEW YORK CITY AREA",1057010
528.5,0,"N","NEW YORK CITY AREA",1009505
1094.25,24.66666667,"Y","NEW YORK CITY AREA",1092708
639.75,0,"U","NEW YORK CITY AREA",1017509
931,8.333333333,"U","NEW YORK CITY AREA",1081583
57,0,"U","NEW YORK CITY AREA",1063342
138.25,0,"U","NEW YORK CITY AREA",1084350
275.5,0,"U","NEW YORK CITY AREA",1063017
192.75,0,"U","NEW YORK CITY AREA",1043167
829.25,3.333333333,"U","NEW YORK CITY AREA",1075197
297.75,1,"U","NEW YORK CITY AREA",1031370
49.75,0,"U","NEW YORK CITY AREA",1016709
113.5,0,"U","NEW YORK CITY AREA",1092742
5.75,0,"U","NEW YORK CITY AREA",1027744
573.5,0,"Y","NEW YORK CITY AREA",1060566
655.75,18.66666667,"Y","NEW YORK CITY AREA",1096064
144.25,0.333333333,"N","NEW YORK CITY AREA",1023845
415,9,"Y","NEW YORK CITY AREA",1052687
153,0,"U","NEW YORK CITY AREA",1020074
990.75,0,"U","NEW YORK CITY AREA",1053417
0,0,"U","NEW YORK CITY AREA",1062017
