"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
335.5,0,"U","NORTH FLORIDA AREA",1076695
32.75,0,"U","NORTH FLORIDA AREA",1045505
174.25,1.333333333,"U","NORTH FLORIDA AREA",1019639
98.75,0,"N","NORTH FLORIDA AREA",1011394
182.75,0,"U","NORTH FLORIDA AREA",1063735
291,0.333333333,"Y","NORTH FLORIDA AREA",1013735
96.25,0,"U","NORTH FLORIDA AREA",1038362
20,0,"U","NORTH FLORIDA AREA",1055498
1116.75,10,"Y","NORTH FLORIDA AREA",1086639
45,0,"U","NORTH FLORIDA AREA",1023989
174.25,0,"N","NORTH FLORIDA AREA",1066152
450.75,0.666666667,"N","NORTH FLORIDA AREA",1008888
624.75,0,"N","NORTH FLORIDA AREA",1043981
181.5,1,"N","NORTH FLORIDA AREA",1016106
0,0,"U","NORTH FLORIDA AREA",1035477
710.25,0.666666667,"Y","NORTH FLORIDA AREA",1019593
88,0,"N","NORTH FLORIDA AREA",1013257
268.75,0,"U","NORTH FLORIDA AREA",1047520
342.25,0,"U","NORTH FLORIDA AREA",1055888
1130,24.66666667,"U","NORTH FLORIDA AREA",1066029
2.75,0,"U","NORTH FLORIDA AREA",1018329
1259.5,0,"U","NORTH FLORIDA AREA",1066629
820.5,0,"U","NORTH FLORIDA AREA",1025393
129.5,1.666666667,"U","NORTH FLORIDA AREA",1025069
214,0,"U","NORTH FLORIDA AREA",1025315
108.25,0,"Y","NORTH FLORIDA AREA",1049910
415.75,4,"U","NORTH FLORIDA AREA",1009884
123.75,0,"N","NORTH FLORIDA AREA",1017717
110.5,0,"N","NORTH FLORIDA AREA",1027483
39.25,0,"U","NORTH FLORIDA AREA",1081810
64.25,0,"U","NORTH FLORIDA AREA",1006174
1570.5,14,"U","NORTH FLORIDA AREA",1092602
351.5,0.666666667,"Y","NORTH FLORIDA AREA",1083350
117.5,0,"U","NORTH FLORIDA AREA",1031740
1054.75,0.666666667,"U","NORTH FLORIDA AREA",1093798
309.75,1.666666667,"U","NORTH FLORIDA AREA",1042914
203.5,0,"U","NORTH FLORIDA AREA",1054601
348.25,0,"Y","NORTH FLORIDA AREA",1010603
729.5,0,"N","NORTH FLORIDA AREA",1013846
255,0.666666667,"N","NORTH FLORIDA AREA",1043997
64.5,0,"U","NORTH FLORIDA AREA",1056074
194.75,0,"U","NORTH FLORIDA AREA",1089158
230.25,0,"U","NORTH FLORIDA AREA",1076761
151.5,0,"U","NORTH FLORIDA AREA",1095357
148.75,0,"U","NORTH FLORIDA AREA",1019470
1237.25,1.333333333,"N","NORTH FLORIDA AREA",1028743
417.25,4.333333333,"U","NORTH FLORIDA AREA",1080926
82.75,0,"U","NORTH FLORIDA AREA",1049679
104.75,0,"Y","NORTH FLORIDA AREA",1013513
1849.75,6.666666667,"U","NORTH FLORIDA AREA",1073360
370.5,6.666666667,"U","NORTH FLORIDA AREA",1035504
412,0,"U","NORTH FLORIDA AREA",1073209
594.25,0,"U","NORTH FLORIDA AREA",1066520
140.5,5,"Y","NORTH FLORIDA AREA",1013164
976.5,15.66666667,"U","NORTH FLORIDA AREA",1059415
202.5,0,"U","NORTH FLORIDA AREA",1079739
288,1.333333333,"U","NORTH FLORIDA AREA",1074971
143.25,0,"U","NORTH FLORIDA AREA",1078503
1381,43,"U","NORTH FLORIDA AREA",1080525
266,0,"N","NORTH FLORIDA AREA",1097238
75,0,"U","NORTH FLORIDA AREA",1077265
1815.5,6.666666667,"Y","NORTH FLORIDA AREA",1070633
0,0,"U","NORTH FLORIDA AREA",1088197
290.75,0,"U","NORTH FLORIDA AREA",1074289
0.25,0,"U","NORTH FLORIDA AREA",1089332
121,0,"U","NORTH FLORIDA AREA",1094160
794.5,9,"U","NORTH FLORIDA AREA",1093685
187.5,0,"N","NORTH FLORIDA AREA",1019047
1.5,0,"Y","NORTH FLORIDA AREA",1005108
1150.5,0,"U","NORTH FLORIDA AREA",1061755
105.75,0.333333333,"Y","NORTH FLORIDA AREA",1034850
468,6.333333333,"Y","NORTH FLORIDA AREA",1035208
