"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
90.5,0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1057800
206,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1021478
911.75,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1091059
245.25,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1091061
479.5,0.666666667,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1068378
1720,27.33333333,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1045750
143.25,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1051671
1785.75,6,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1011210
337,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1057553
480,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1060712
260.5,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1052250
601,6.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1009778
261.25,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1006388
1287.25,10.66666667,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1020752
131.25,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1067870
91.75,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1092474
452.5,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1083107
1403.25,5.333333333,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1066999
56.25,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1079311
662.75,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1065412
93.5,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1032539
366,2.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1067422
30.25,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1088872
813.75,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1020073
847.25,0.333333333,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1041407
873,0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1042140
122.5,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1018139
90,0,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1000398
52.75,0.666666667,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1059638
66.5,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1022227
708.75,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1038104
4,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1096976
2157,4.666666667,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1000957
813.25,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1076927
264.75,0,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1095528
145.25,0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1013135
28,0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1089089
484.25,1.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1040919
352.75,3.666666667,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1090002
298.5,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1075383
644.5,0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1006629
2,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1039463
307.75,0.666666667,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1013004
166,0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1082023
168,1.666666667,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1080140
404.5,0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1044226
386.25,1.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1083342
581.5,0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1095795
176.5,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1074316
311,0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1002031
431.75,0.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1094427
1073.5,4,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1081767
263.25,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1048921
637.25,5,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1029063
467,2,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1079350
904.5,1.333333333,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1007787
538.5,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1030241
1872,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1069129
181.5,0,"Y","NORTHWEST-ROCKY MOUNTAIN AREA",1002493
47.75,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1037881
192.75,0,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1018904
613.75,1,"U","NORTHWEST-ROCKY MOUNTAIN AREA",1089772
1075.75,0,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1000753
307,0,"N","NORTHWEST-ROCKY MOUNTAIN AREA",1035783
