"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
259.5,0,"N","OHIO AREA",1011089
141,0.333333333,"U","OHIO AREA",1056196
363,0,"U","OHIO AREA",1071184
99.25,0,"U","OHIO AREA",1090228
119.25,0,"N","OHIO AREA",1004669
676.5,0.333333333,"U","OHIO AREA",1042810
343.75,0,"N","OHIO AREA",1019827
43.25,0,"U","OHIO AREA",1005423
1237,17.66666667,"U","OHIO AREA",1089051
140,0.333333333,"U","OHIO AREA",1054447
492.5,0.333333333,"U","OHIO AREA",1040422
81.5,0,"U","OHIO AREA",1058824
78,0,"U","OHIO AREA",1078984
2918,0,"U","OHIO AREA",1065069
1013,0,"U","OHIO AREA",1041363
2.5,0,"Y","OHIO AREA",1030345
919.25,0,"U","OHIO AREA",1070297
260.5,1,"U","OHIO AREA",1030534
702,2,"U","OHIO AREA",1024220
170.75,0.666666667,"N","OHIO AREA",1015137
1123,1,"U","OHIO AREA",1057764
444.25,0,"U","OHIO AREA",1030157
224.75,0,"Y","OHIO AREA",1019935
412.75,0,"U","OHIO AREA",1067140
0,0,"U","OHIO AREA",1024124
295.5,1,"Y","OHIO AREA",1009534
1998.5,7.333333333,"Y","OHIO AREA",1021576
481.5,3.333333333,"U","OHIO AREA",1075808
430.75,10.66666667,"U","OHIO AREA",1083443
637.75,0.666666667,"U","OHIO AREA",1067472
122,0,"U","OHIO AREA",1014707
327.75,0,"U","OHIO AREA",1070770
288.5,1,"U","OHIO AREA",1090242
381,1.666666667,"U","OHIO AREA",1078876
87.25,0,"U","OHIO AREA",1082120
390,0,"Y","OHIO AREA",1017574
537.5,0,"Y","OHIO AREA",1033513
1572.25,14.66666667,"N","OHIO AREA",1073117
729.5,6.666666667,"U","OHIO AREA",1089744
88.75,0,"U","OHIO AREA",1079356
94.5,0,"U","OHIO AREA",1009168
618,1,"U","OHIO AREA",1083468
1675.5,4,"Y","OHIO AREA",1075783
60,0.333333333,"U","OHIO AREA",1093973
976.25,0,"U","OHIO AREA",1081405
5,1,"N","OHIO AREA",1004447
29.75,0,"U","OHIO AREA",1077779
4.5,0,"U","OHIO AREA",1074529
687,0,"Y","OHIO AREA",1077990
116,0,"U","OHIO AREA",1081152
1162,0.333333333,"N","OHIO AREA",1061229
58,0,"N","OHIO AREA",1013861
