"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
186.5,0,"U","PHILADELPHIA AREA",1032592
1537,2.333333333,"Y","PHILADELPHIA AREA",1024580
6.5,0,"U","PHILADELPHIA AREA",1044265
663.5,16,"U","PHILADELPHIA AREA",1075560
202.5,4.333333333,"N","PHILADELPHIA AREA",1026798
133.5,0,"U","PHILADELPHIA AREA",1066125
334,0,"Y","PHILADELPHIA AREA",1057755
77.25,0,"U","PHILADELPHIA AREA",1019071
327,0,"U","PHILADELPHIA AREA",1069367
41.5,0,"N","PHILADELPHIA AREA",1000785
415,0,"N","PHILADELPHIA AREA",1049364
1676.25,0,"Y","PHILADELPHIA AREA",1023906
349.75,1,"U","PHILADELPHIA AREA",1075124
1882.25,7.333333333,"Y","PHILADELPHIA AREA",1086592
1484,12.66666667,"Y","PHILADELPHIA AREA",1037393
180,14.66666667,"N","PHILADELPHIA AREA",1056729
120.5,0,"Y","PHILADELPHIA AREA",1046960
167.75,0,"U","PHILADELPHIA AREA",1001133
551.25,0,"U","PHILADELPHIA AREA",1047884
356,0,"U","PHILADELPHIA AREA",1071730
770.75,2.666666667,"U","PHILADELPHIA AREA",1091963
926.75,0,"U","PHILADELPHIA AREA",1032487
602.75,0,"U","PHILADELPHIA AREA",1063413
413.5,0,"Y","PHILADELPHIA AREA",1000368
2725,0,"Y","PHILADELPHIA AREA",1015474
791.75,0.666666667,"Y","PHILADELPHIA AREA",1045258
493.75,0,"U","PHILADELPHIA AREA",1060968
0,0,"N","PHILADELPHIA AREA",1068926
271,4,"Y","PHILADELPHIA AREA",1036484
394.25,0,"U","PHILADELPHIA AREA",1065220
124.5,0,"U","PHILADELPHIA AREA",1036871
318,0,"Y","PHILADELPHIA AREA",1007369
60.5,0,"U","PHILADELPHIA AREA",1030361
65.5,0,"U","PHILADELPHIA AREA",1059246
512.75,0,"U","PHILADELPHIA AREA",1029342
594,6.333333333,"Y","PHILADELPHIA AREA",1050096
325,0.333333333,"Y","PHILADELPHIA AREA",1003001
160.5,0.666666667,"U","PHILADELPHIA AREA",1005325
486,0.333333333,"N","PHILADELPHIA AREA",1092495
224.75,0.333333333,"N","PHILADELPHIA AREA",1091057
1076,45.33333333,"U","PHILADELPHIA AREA",1038783
790,1.666666667,"U","PHILADELPHIA AREA",1067191
54.5,0,"U","PHILADELPHIA AREA",1016498
17,0,"Y","PHILADELPHIA AREA",1016538
100.25,0,"U","PHILADELPHIA AREA",1054679
97.25,0,"U","PHILADELPHIA AREA",1089967
1198.75,4,"U","PHILADELPHIA AREA",1025383
59.25,0,"U","PHILADELPHIA AREA",1004136
572.25,0,"U","PHILADELPHIA AREA",1073027
251,0.333333333,"U","PHILADELPHIA AREA",1019738
219,0,"Y","PHILADELPHIA AREA",1081054
268.5,3,"U","PHILADELPHIA AREA",1026642
605.5,0,"Y","PHILADELPHIA AREA",1040153
453,0,"N","PHILADELPHIA AREA",1033593
8.5,0,"Y","PHILADELPHIA AREA",1029040
373.5,0,"U","PHILADELPHIA AREA",1056256
536,3,"Y","PHILADELPHIA AREA",1042819
250.5,1.666666667,"N","PHILADELPHIA AREA",1043632
108.5,1,"N","PHILADELPHIA AREA",1074561
1396,16,"U","PHILADELPHIA AREA",1072494
76.5,0.333333333,"U","PHILADELPHIA AREA",1054355
294.75,0,"U","PHILADELPHIA AREA",1025707
936.75,3.666666667,"U","PHILADELPHIA AREA",1054482
162.5,0,"Y","PHILADELPHIA AREA",1058610
91.25,0.333333333,"U","PHILADELPHIA AREA",1024857
129,2,"U","PHILADELPHIA AREA",1066641
132,1.333333333,"U","PHILADELPHIA AREA",1033377
195.75,0,"Y","PHILADELPHIA AREA",1000845
1157.25,2.333333333,"U","PHILADELPHIA AREA",1036854
55.5,0,"U","PHILADELPHIA AREA",1017554
1090,24.33333333,"U","PHILADELPHIA AREA",1096100
251.5,0.666666667,"Y","PHILADELPHIA AREA",1005403
220,0,"U","PHILADELPHIA AREA",1065945
108.75,0,"Y","PHILADELPHIA AREA",1095501
816.5,0,"U","PHILADELPHIA AREA",1060756
473,3.666666667,"Y","PHILADELPHIA AREA",1068291
312.5,0.666666667,"U","PHILADELPHIA AREA",1058073
180,0.666666667,"U","PHILADELPHIA AREA",1027163
1.25,0,"Y","PHILADELPHIA AREA",1044107
82.75,1.666666667,"U","PHILADELPHIA AREA",1091245
43.75,0,"U","PHILADELPHIA AREA",1036382
69.5,0,"U","PHILADELPHIA AREA",1027824
749.25,0.333333333,"U","PHILADELPHIA AREA",1075781
