"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
273.5,0,"U","SOUTH FLORIDA AREA",1070208
289.25,1,"U","SOUTH FLORIDA AREA",1051859
1041.5,2.333333333,"N","SOUTH FLORIDA AREA",1035282
77.75,0,"U","SOUTH FLORIDA AREA",1025479
965,0,"U","SOUTH FLORIDA AREA",1023124
1351.75,0,"U","SOUTH FLORIDA AREA",1047382
253.5,1,"U","SOUTH FLORIDA AREA",1057649
1287.5,0.666666667,"U","SOUTH FLORIDA AREA",1079122
29,0,"U","SOUTH FLORIDA AREA",1045521
14.25,0.333333333,"N","SOUTH FLORIDA AREA",1001932
2752.75,0,"Y","SOUTH FLORIDA AREA",1069086
993.75,5.333333333,"U","SOUTH FLORIDA AREA",1036707
256.75,0.333333333,"U","SOUTH FLORIDA AREA",1016046
415.5,0,"N","SOUTH FLORIDA AREA",1009905
570.5,6,"Y","SOUTH FLORIDA AREA",1032256
800,9.333333333,"Y","SOUTH FLORIDA AREA",1022453
293.5,0,"U","SOUTH FLORIDA AREA",1017656
684.75,0.666666667,"Y","SOUTH FLORIDA AREA",1035526
35.5,0,"U","SOUTH FLORIDA AREA",1066788
1570.25,0.333333333,"U","SOUTH FLORIDA AREA",1052441
317.75,0,"U","SOUTH FLORIDA AREA",1030002
530,0,"Y","SOUTH FLORIDA AREA",1016603
206.75,1,"N","SOUTH FLORIDA AREA",1004085
358.25,0,"Y","SOUTH FLORIDA AREA",1042497
1498.5,16,"U","SOUTH FLORIDA AREA",1080576
114,0,"U","SOUTH FLORIDA AREA",1053373
180.25,0,"U","SOUTH FLORIDA AREA",1057703
230,0,"U","SOUTH FLORIDA AREA",1061814
2.5,0.333333333,"U","SOUTH FLORIDA AREA",1086747
364.25,0,"Y","SOUTH FLORIDA AREA",1018701
58.5,0.333333333,"N","SOUTH FLORIDA AREA",1003559
271,0,"U","SOUTH FLORIDA AREA",1070165
998,0,"N","SOUTH FLORIDA AREA",1012904
913.25,5.333333333,"Y","SOUTH FLORIDA AREA",1042409
284.5,0,"U","SOUTH FLORIDA AREA",1026553
28.25,0,"U","SOUTH FLORIDA AREA",1047095
73.25,0,"N","SOUTH FLORIDA AREA",1015251
1225.75,0,"U","SOUTH FLORIDA AREA",1030786
84.25,0,"Y","SOUTH FLORIDA AREA",1008024
900,1.333333333,"Y","SOUTH FLORIDA AREA",1007480
731,2.333333333,"Y","SOUTH FLORIDA AREA",1071900
406.5,0.666666667,"U","SOUTH FLORIDA AREA",1089823
591,0.333333333,"N","SOUTH FLORIDA AREA",1061315
387.75,3,"U","SOUTH FLORIDA AREA",1031947
324.5,0,"Y","SOUTH FLORIDA AREA",1029338
602.75,0,"U","SOUTH FLORIDA AREA",1043672
52,0,"U","SOUTH FLORIDA AREA",1028006
7.75,0,"U","SOUTH FLORIDA AREA",1095736
52,0,"U","SOUTH FLORIDA AREA",1025480
928.75,0,"Y","SOUTH FLORIDA AREA",1040960
17.25,0,"U","SOUTH FLORIDA AREA",1039790
453.75,14.66666667,"U","SOUTH FLORIDA AREA",1066785
1738.75,1.666666667,"U","SOUTH FLORIDA AREA",1089396
173.75,2.666666667,"U","SOUTH FLORIDA AREA",1081132
210.5,0.333333333,"Y","SOUTH FLORIDA AREA",1026404
75.75,0.666666667,"U","SOUTH FLORIDA AREA",1076255
0,0,"U","SOUTH FLORIDA AREA",1070526
811.75,0,"U","SOUTH FLORIDA AREA",1044194
138.75,0,"U","SOUTH FLORIDA AREA",1046737
525.75,2,"U","SOUTH FLORIDA AREA",1000903
309.25,0,"N","SOUTH FLORIDA AREA",1055051
19.5,0,"N","SOUTH FLORIDA AREA",1002595
909.25,0.333333333,"U","SOUTH FLORIDA AREA",1082331
99.25,0.666666667,"U","SOUTH FLORIDA AREA",1013353
356.75,0,"U","SOUTH FLORIDA AREA",1018467
88.75,0,"U","SOUTH FLORIDA AREA",1026604
420.75,0,"Y","SOUTH FLORIDA AREA",1043460
860.75,17,"U","SOUTH FLORIDA AREA",1065106
160,0,"U","SOUTH FLORIDA AREA",1024969
258.5,4.666666667,"Y","SOUTH FLORIDA AREA",1079449
190.25,0,"U","SOUTH FLORIDA AREA",1013168
140.5,0,"U","SOUTH FLORIDA AREA",1008918
95,1.333333333,"U","SOUTH FLORIDA AREA",1039207
589.25,0.666666667,"N","SOUTH FLORIDA AREA",1014231
69,0,"N","SOUTH FLORIDA AREA",1000820
1148.25,0.333333333,"Y","SOUTH FLORIDA AREA",1005596
646,3.333333333,"U","SOUTH FLORIDA AREA",1041812
712.75,8.333333333,"Y","SOUTH FLORIDA AREA",1027256
407,3.666666667,"Y","SOUTH FLORIDA AREA",1033652
877.75,5,"U","SOUTH FLORIDA AREA",1064141
133,0,"U","SOUTH FLORIDA AREA",1069294
678.5,0,"N","SOUTH FLORIDA AREA",1000604
51,0,"U","SOUTH FLORIDA AREA",1068304
211.5,0.666666667,"Y","SOUTH FLORIDA AREA",1010022
1382.75,3.666666667,"U","SOUTH FLORIDA AREA",1055489
270.75,3.333333333,"N","SOUTH FLORIDA AREA",1089509
1014.5,0,"U","SOUTH FLORIDA AREA",1060288
251.5,3.333333333,"U","SOUTH FLORIDA AREA",1080971
85,3.333333333,"U","SOUTH FLORIDA AREA",1095636
129.5,0,"U","SOUTH FLORIDA AREA",1027477
246.25,6.333333333,"U","SOUTH FLORIDA AREA",1016536
438.25,2,"Y","SOUTH FLORIDA AREA",1061749
352.5,0,"Y","SOUTH FLORIDA AREA",1029968
79.25,0.666666667,"U","SOUTH FLORIDA AREA",1024836
265.5,0,"Y","SOUTH FLORIDA AREA",1039735
1051.5,1,"U","SOUTH FLORIDA AREA",1079696
314.25,0.333333333,"Y","SOUTH FLORIDA AREA",1072826
944,6.333333333,"U","SOUTH FLORIDA AREA",1043134
469,0,"U","SOUTH FLORIDA AREA",1093371
176.25,0,"N","SOUTH FLORIDA AREA",1015043
788,0.333333333,"Y","SOUTH FLORIDA AREA",1096191
871.75,0,"U","SOUTH FLORIDA AREA",1063760
328,0,"Y","SOUTH FLORIDA AREA",1064494
1661.75,0.333333333,"U","SOUTH FLORIDA AREA",1074392
555.25,0,"Y","SOUTH FLORIDA AREA",1044999
290.25,0,"Y","SOUTH FLORIDA AREA",1032504
693.75,0,"U","SOUTH FLORIDA AREA",1006490
319,0,"N","SOUTH FLORIDA AREA",1045569
99.5,0,"N","SOUTH FLORIDA AREA",1009359
385.25,5,"U","SOUTH FLORIDA AREA",1081953
863,1,"U","SOUTH FLORIDA AREA",1075800
79.75,0,"Y","SOUTH FLORIDA AREA",1006339
55,0,"U","SOUTH FLORIDA AREA",1075063
167.5,0,"U","SOUTH FLORIDA AREA",1024993
771,0,"Y","SOUTH FLORIDA AREA",1072486
3549.25,8,"U","SOUTH FLORIDA AREA",1045377
935.25,0,"N","SOUTH FLORIDA AREA",1000531
857.75,0,"Y","SOUTH FLORIDA AREA",1066191
3,0,"U","SOUTH FLORIDA AREA",1036470
50.5,0,"U","SOUTH FLORIDA AREA",1016283
34.75,0,"U","SOUTH FLORIDA AREA",1031489
899.25,3.666666667,"N","SOUTH FLORIDA AREA",1018072
96.75,0,"U","SOUTH FLORIDA AREA",1045792
252,0.333333333,"Y","SOUTH FLORIDA AREA",1019141
403.25,0,"Y","SOUTH FLORIDA AREA",1025770
361,1.333333333,"Y","SOUTH FLORIDA AREA",1034165
254.5,0,"Y","SOUTH FLORIDA AREA",1029074
163.5,0.333333333,"U","SOUTH FLORIDA AREA",1055495
177.5,0,"N","SOUTH FLORIDA AREA",1055723
134.5,0,"U","SOUTH FLORIDA AREA",1003891
1487.75,1.333333333,"U","SOUTH FLORIDA AREA",1027622
424.75,0,"N","SOUTH FLORIDA AREA",1013387
26,0,"U","SOUTH FLORIDA AREA",1009714
175.75,0,"N","SOUTH FLORIDA AREA",1095787
161.25,0,"U","SOUTH FLORIDA AREA",1015418
357.5,0.666666667,"U","SOUTH FLORIDA AREA",1011767
151,0,"Y","SOUTH FLORIDA AREA",1030403
388.75,0,"N","SOUTH FLORIDA AREA",1001254
508.25,0.666666667,"Y","SOUTH FLORIDA AREA",1013538
110,0,"U","SOUTH FLORIDA AREA",1074672
235,0,"Y","SOUTH FLORIDA AREA",1051245
42.5,0,"U","SOUTH FLORIDA AREA",1012668
169.25,0,"Y","SOUTH FLORIDA AREA",1002743
758.5,6.666666667,"Y","SOUTH FLORIDA AREA",1031591
1166,2,"U","SOUTH FLORIDA AREA",1069379
360.5,0,"U","SOUTH FLORIDA AREA",1067077
163,0,"N","SOUTH FLORIDA AREA",1005858
167.5,0,"U","SOUTH FLORIDA AREA",1062439
1207.25,1.333333333,"Y","SOUTH FLORIDA AREA",1050523
99.75,2.333333333,"N","SOUTH FLORIDA AREA",1023467
528.75,7.333333333,"U","SOUTH FLORIDA AREA",1011779
1812,15.33333333,"U","SOUTH FLORIDA AREA",1075162
319.5,0.333333333,"N","SOUTH FLORIDA AREA",1008885
1156.75,3.666666667,"U","SOUTH FLORIDA AREA",1076040
395.5,0,"U","SOUTH FLORIDA AREA",1069944
148,0,"U","SOUTH FLORIDA AREA",1011619
641.5,2.333333333,"U","SOUTH FLORIDA AREA",1091082
1063,0,"U","SOUTH FLORIDA AREA",1082452
68.25,0,"U","SOUTH FLORIDA AREA",1065491
1066.25,18,"U","SOUTH FLORIDA AREA",1092615
55.5,0.333333333,"N","SOUTH FLORIDA AREA",1004777
234.75,0,"U","SOUTH FLORIDA AREA",1085121
732,1.333333333,"N","SOUTH FLORIDA AREA",1033410
191.25,0,"Y","SOUTH FLORIDA AREA",1017948
196.5,0,"Y","SOUTH FLORIDA AREA",1000471
3.75,0,"U","SOUTH FLORIDA AREA",1020365
69.25,1,"Y","SOUTH FLORIDA AREA",1050580
