"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
28.75,0,"U","SOUTHWEST AREA",1097730
1127.75,0.333333333,"U","SOUTHWEST AREA",1044329
661.75,0,"N","SOUTHWEST AREA",1029191
905.75,0,"Y","SOUTHWEST AREA",1068005
233.25,0.666666667,"U","SOUTHWEST AREA",1091273
77.75,0,"U","SOUTHWEST AREA",1066597
634.5,0,"Y","SOUTHWEST AREA",1079231
336.75,0,"Y","SOUTHWEST AREA",1028759
741.25,0,"U","SOUTHWEST AREA",1040133
1222,2,"U","SOUTHWEST AREA",1082182
763,4,"Y","SOUTHWEST AREA",1083816
22,0,"U","SOUTHWEST AREA",1097898
1609.25,13,"N","SOUTHWEST AREA",1091896
2027,9,"U","SOUTHWEST AREA",1094422
1440.75,5.333333333,"N","SOUTHWEST AREA",1024718
133.5,0,"U","SOUTHWEST AREA",1032524
465.25,3,"U","SOUTHWEST AREA",1089547
245,0,"U","SOUTHWEST AREA",1042656
921,0.333333333,"U","SOUTHWEST AREA",1039062
354.75,0,"Y","SOUTHWEST AREA",1059030
182,0,"U","SOUTHWEST AREA",1085773
227.5,0.333333333,"U","SOUTHWEST AREA",1099334
2292.5,6.666666667,"U","SOUTHWEST AREA",1083101
524.5,1.666666667,"Y","SOUTHWEST AREA",1067275
380.75,0,"U","SOUTHWEST AREA",1033407
265.25,7.333333333,"U","SOUTHWEST AREA",1064705
202.5,12,"U","SOUTHWEST AREA",1097488
16.5,0,"U","SOUTHWEST AREA",1027106
614.5,0,"Y","SOUTHWEST AREA",1043720
1008.75,0,"U","SOUTHWEST AREA",1096486
854,1.333333333,"U","SOUTHWEST AREA",1084183
224.75,0,"U","SOUTHWEST AREA",1067409
120.75,0,"U","SOUTHWEST AREA",1020240
496,0,"U","SOUTHWEST AREA",1091118
814,1.666666667,"U","SOUTHWEST AREA",1075691
38.66666667,0,"Y","SOUTHWEST AREA",1097773
62.5,0,"Y","SOUTHWEST AREA",1007136
155.75,0.333333333,"Y","SOUTHWEST AREA",1059006
191,0,"U","SOUTHWEST AREA",1098201
117.25,0,"U","SOUTHWEST AREA",1061881
1001,2.333333333,"N","SOUTHWEST AREA",1062255
659.25,1,"U","SOUTHWEST AREA",1081693
362.5,0,"Y","SOUTHWEST AREA",1069978
203.6666667,0,"U","SOUTHWEST AREA",1099405
1624.75,9.666666667,"U","SOUTHWEST AREA",1090388
116.5,0,"U","SOUTHWEST AREA",1062986
13.66666667,0,"U","SOUTHWEST AREA",1098960
633,4.333333333,"U","SOUTHWEST AREA",1080723
639.5,0.666666667,"Y","SOUTHWEST AREA",1098372
325.75,0,"N","SOUTHWEST AREA",1007421
96,0,"U","SOUTHWEST AREA",1080466
148.25,1.333333333,"Y","SOUTHWEST AREA",1052520
291,0,"U","SOUTHWEST AREA",1084946
