"mou_Mean","custcare_Mean","new_cell","area","Customer_ID"
NA,0,"U","TENNESSEE AREA",1047767
441.75,5,"N","TENNESSEE AREA",1019471
153.75,3,"Y","TENNESSEE AREA",1060278
229.5,0,"U","TENNESSEE AREA",1085161
301.5,0,"U","TENNESSEE AREA",1046324
350.75,0,"Y","TENNESSEE AREA",1005411
9,0,"U","TENNESSEE AREA",1007489
141.25,0,"U","TENNESSEE AREA",1074168
216.75,0,"N","TENNESSEE AREA",1039146
387.5,8.666666667,"U","TENNESSEE AREA",1014189
1148.75,0,"U","TENNESSEE AREA",1044974
135.75,2,"N","TENNESSEE AREA",1027781
840.5,5,"U","TENNESSEE AREA",1030474
187.25,0,"U","TENNESSEE AREA",1013565
1273.75,5.666666667,"Y","TENNESSEE AREA",1090444
1595,19.66666667,"Y","TENNESSEE AREA",1068835
396.75,0,"N","TENNESSEE AREA",1074880
356,0.333333333,"U","TENNESSEE AREA",1038199
182,0,"Y","TENNESSEE AREA",1040142
509.5,0,"U","TENNESSEE AREA",1025353
163.75,3.666666667,"U","TENNESSEE AREA",1039021
405.75,0,"U","TENNESSEE AREA",1016256
841.5,0,"U","TENNESSEE AREA",1083039
1275,5.666666667,"N","TENNESSEE AREA",1075324
190.5,2,"U","TENNESSEE AREA",1057498
438.25,0,"U","TENNESSEE AREA",1075483
1048.25,0,"Y","TENNESSEE AREA",1070212
280,0,"N","TENNESSEE AREA",1093842
647.25,3,"U","TENNESSEE AREA",1049406
720,0,"U","TENNESSEE AREA",1080776
158.5,0,"N","TENNESSEE AREA",1080618
1290,8.666666667,"U","TENNESSEE AREA",1008721
107,0,"U","TENNESSEE AREA",1038200
23.75,0.666666667,"N","TENNESSEE AREA",1000051
241.75,0.333333333,"Y","TENNESSEE AREA",1016238
173.75,0,"N","TENNESSEE AREA",1006009
587.75,0,"U","TENNESSEE AREA",1073017
527.5,2,"U","TENNESSEE AREA",1087225
552.25,0,"U","TENNESSEE AREA",1055627
0,0,"U","TENNESSEE AREA",1062646
314,0.333333333,"U","TENNESSEE AREA",1044282
289,0,"Y","TENNESSEE AREA",1012789
613.25,1,"U","TENNESSEE AREA",1053819
295.25,0,"N","TENNESSEE AREA",1045741
368.75,7.333333333,"Y","TENNESSEE AREA",1047303
395.75,0,"U","TENNESSEE AREA",1085718
350.75,0,"U","TENNESSEE AREA",1061075
610.25,2.666666667,"Y","TENNESSEE AREA",1096797
85.5,0,"N","TENNESSEE AREA",1030127
94,0,"U","TENNESSEE AREA",1023005
173.5,0,"U","TENNESSEE AREA",1096175
212.5,5,"N","TENNESSEE AREA",1040417
226.5,2.333333333,"U","TENNESSEE AREA",1014566
1840.75,6.333333333,"N","TENNESSEE AREA",1057397
238.5,0,"U","TENNESSEE AREA",1095788
310.75,0,"N","TENNESSEE AREA",1014770
29,0,"N","TENNESSEE AREA",1005582
98.25,0,"U","TENNESSEE AREA",1045411
2035.5,6.666666667,"Y","TENNESSEE AREA",1092360
203.75,0,"U","TENNESSEE AREA",1089460
164,0,"N","TENNESSEE AREA",1024975
901.75,0,"N","TENNESSEE AREA",1091756
78,0,"U","TENNESSEE AREA",1022959
87.25,0,"N","TENNESSEE AREA",1005513
640.75,0.333333333,"U","TENNESSEE AREA",1075929
245.75,0,"U","TENNESSEE AREA",1015207
84.25,0,"N","TENNESSEE AREA",1076750
161,1.666666667,"Y","TENNESSEE AREA",1067303
147.75,0,"U","TENNESSEE AREA",1054850
813.25,0.666666667,"Y","TENNESSEE AREA",1007649
11.25,0,"U","TENNESSEE AREA",1080767
435.5,2,"U","TENNESSEE AREA",1027462
905.25,1,"N","TENNESSEE AREA",1027794
187.75,0,"N","TENNESSEE AREA",1042436
80.25,0,"Y","TENNESSEE AREA",1012147
241.75,0,"U","TENNESSEE AREA",1062774
555,1.666666667,"U","TENNESSEE AREA",1054377
342.75,5.666666667,"U","TENNESSEE AREA",1038841
256,2,"U","TENNESSEE AREA",1060770
531.75,0,"U","TENNESSEE AREA",1009464
256.5,1,"U","TENNESSEE AREA",1014701
457,0,"N","TENNESSEE AREA",1031053
17.75,0,"Y","TENNESSEE AREA",1003286
396.75,0,"N","TENNESSEE AREA",1070238
490.25,0,"N","TENNESSEE AREA",1070082
1178.75,4.333333333,"N","TENNESSEE AREA",1040414
852.75,8.333333333,"N","TENNESSEE AREA",1060776
863.5,5.666666667,"U","TENNESSEE AREA",1024292
867.75,0,"N","TENNESSEE AREA",1000776
219,0,"U","TENNESSEE AREA",1026887
642,0,"U","TENNESSEE AREA",1085853
513.5,0,"U","TENNESSEE AREA",1075109
1051.75,0,"U","TENNESSEE AREA",1084554
755,3.333333333,"U","TENNESSEE AREA",1012231
NA,0,"Y","TENNESSEE AREA",1008029
495,0,"U","TENNESSEE AREA",1069986
413.75,2.666666667,"U","TENNESSEE AREA",1076975
364.25,0,"U","TENNESSEE AREA",1067677
657.75,1,"U","TENNESSEE AREA",1057683
424.75,0,"U","TENNESSEE AREA",1004154
554.25,0,"N","TENNESSEE AREA",1060695
532.75,6.666666667,"U","TENNESSEE AREA",1012158
202.75,0,"N","TENNESSEE AREA",1078074
33.25,0,"U","TENNESSEE AREA",1036822
181.5,0.333333333,"N","TENNESSEE AREA",1006659
321,0,"U","TENNESSEE AREA",1045981
0,0,"Y","TENNESSEE AREA",1013699
194.75,0.333333333,"U","TENNESSEE AREA",1018961
192.5,0,"N","TENNESSEE AREA",1001934
423,0,"U","TENNESSEE AREA",1074645
11.25,0,"U","TENNESSEE AREA",1013124
271.75,0,"Y","TENNESSEE AREA",1003584
566.75,0,"U","TENNESSEE AREA",1075281
169,0,"U","TENNESSEE AREA",1056602
548,0.666666667,"N","TENNESSEE AREA",1010010
753,0,"U","TENNESSEE AREA",1010995
373.5,0,"U","TENNESSEE AREA",1017099
0.5,0,"U","TENNESSEE AREA",1051124
1160.75,0,"U","TENNESSEE AREA",1074701
789.75,11.33333333,"U","TENNESSEE AREA",1070172
2631.25,7.333333333,"U","TENNESSEE AREA",1086749
1067.25,0.666666667,"U","TENNESSEE AREA",1089815
205.75,0.666666667,"U","TENNESSEE AREA",1028279
233,3.666666667,"U","TENNESSEE AREA",1018130
1838,0,"Y","TENNESSEE AREA",1072199
240.5,0,"U","TENNESSEE AREA",1042816
791.25,1,"U","TENNESSEE AREA",1016266
715.25,5,"U","TENNESSEE AREA",1042215
10.25,0,"U","TENNESSEE AREA",1014944
303.75,0,"Y","TENNESSEE AREA",1005487
422.25,0,"U","TENNESSEE AREA",1095455
1741.25,4.333333333,"U","TENNESSEE AREA",1073031
398,1.666666667,"U","TENNESSEE AREA",1034114
464.75,1,"U","TENNESSEE AREA",1038735
2.5,0,"Y","TENNESSEE AREA",1077501
626.25,0,"U","TENNESSEE AREA",1039684
545.25,0,"Y","TENNESSEE AREA",1071490
1150.75,0,"N","TENNESSEE AREA",1002825
424.75,0,"U","TENNESSEE AREA",1076144
517.75,0.333333333,"U","TENNESSEE AREA",1013913
