;Gender;EthnicGroup;ParentEduc;LunchType;TestPrep;ParentMaritalStatus;PracticeSport;IsFirstChild;NrSiblings;TransportMeans;WklyStudyHours;MathScore;ReadingScore;WritingScore
0;female;group E;associate's degree;free/reduced;none;single;regularly;yes;0;school_bus;< 5;74;77;68
0;male;group D;some college;free/reduced;completed;married;sometimes;yes;0;school_bus;5 - 10;45;48;53
0;male;group E;master's degree;standard;completed;married;never;yes;0;school_bus;< 5;69;62;67
0;female;group C;some college;standard;none;divorced;never;yes;0;private;5 - 10;72;86;82
0;male;group E;high school;free/reduced;none;married;regularly;yes;0;private;5 - 10;52;62;56
0;male;group C;some college;standard;completed;;regularly;yes;0;school_bus;5 - 10;72;70;68
0;female;group D;some high school;free/reduced;completed;divorced;regularly;no;1;school_bus;< 5;58;86;82
0;male;group D;some high school;standard;none;married;sometimes;yes;1;school_bus;5 - 10;70;73;67
0;male;group A;some high school;free/reduced;none;divorced;never;yes;1;private;< 5;52;45;41
0;male;group C;some college;free/reduced;none;divorced;sometimes;no;1;;5 - 10;79;71;73
0;female;group B;master's degree;free/reduced;none;married;regularly;no;1;private;< 5;38;47;47
0;male;group B;high school;standard;none;single;sometimes;no;1;school_bus;5 - 10;49;54;53
0;male;group C;high school;standard;completed;married;sometimes;yes;1;school_bus;5 - 10;58;54;55
0;female;group C;;free/reduced;completed;married;sometimes;no;1;school_bus;5 - 10;;75;69
0;female;group A;;free/reduced;none;married;sometimes;yes;2;school_bus;< 5;53;65;64
0;female;;bachelor's degree;standard;none;married;sometimes;;2;school_bus;5 - 10;76;83;85
0;female;group C;associate's degree;free/reduced;none;married;sometimes;no;2;private;;79;89;82
0;female;group E;associate's degree;standard;none;married;sometimes;yes;2;school_bus;> 10;81;86;77
0;female;;bachelor's degree;standard;none;married;regularly;yes;3;school_bus;< 5;71;71;74
0;female;group B;some high school;free/reduced;none;married;sometimes;no;3;school_bus;5 - 10;49;68;66
0;male;group D;some college;standard;none;married;never;yes;3;private;5 - 10;64;62;56
0;male;group C;;standard;completed;married;sometimes;yes;3;school_bus;> 10;77;77;79
0;male;group C;associate's degree;standard;completed;married;sometimes;no;3;private;< 5;56;65;62
0;female;group B;some college;standard;none;married;regularly;no;3;private;;70;72;74
