DepartamentoDelPredio;MunicipioDelPredio;CodigoDANE;NumeroDeSolicitudes;NumeroDePredios;NumeroDeTitulares
Bolívar;Cantagallo;13160;112;102;99
Santander;San Benito;68673;2;2;2
Santander;Aguada;68013;3;3;2
Nariño;Chachagüí;52240;5;5;5
Casanare;Recetor;85279;15;14;13
Risaralda;Apía;66045;44;42;33
Bolívar;Hatillo De Loba;13300;13;8;11
Cauca;Caldono;19137;54;49;44
Cundinamarca;Chía;25175;13;12;4
Cauca;López;19418;129;110;108
Cundinamarca;Silvania;25743;87;81;59
Antioquia;Anza;5044;21;21;17
Nariño;El Tablón De Gómez;52258;1187;1158;881
Putumayo;Villa Garzón;86885;640;603;538
Valle Del Cauca;Ginebra;76306;47;44;30
Bolívar;San Jacinto;13654;1224;1087;990
Caldas;Pácora;17513;44;43;26
Vaupés;Mitú;97001;56;54;48
Risaralda;Pereira;66001;54;50;44
Chocó;Medio San Juan;27450;17;16;17
Antioquia;Murindó;5475;10;9;9
Sucre;Majagual;70429;83;79;76
Nariño;Mallama;52435;52;47;41
La Guajira;Distracción;44098;63;56;52
Antioquia;Salgar;5642;104;98;86
Nariño;Buesaco;52110;85;84;69
Cesar;Pailitas;20517;410;368;334
Bolívar;San Fernando;13650;1;1;1
Antioquia;La Pintada;5390;9;8;6
Córdoba;San Carlos;23678;8;8;7
Cundinamarca;Albán;25019;13;13;10
Vaupés;Taraira;97666;2;2;2
Caldas;Riosucio;17614;62;60;50
Bolívar;Norosí;13490;28;27;27
Caldas;Aguadas;17013;63;53;55
Sucre;Morroa;70473;473;363;383
Quindío;Montenegro;63470;7;7;5
Antioquia;Granada;5313;1285;1266;880
Nariño;Tangua;52788;208;189;157
Cundinamarca;Medina;25438;177;170;114
Boyacá;Gachantivá;15293;2;2;2
Bolívar;Tiquisio;13810;120;109;102
Bolívar;Barranco De Loba;13074;65;61;54
Magdalena;Cerro San Antonio;47161;21;20;15
Boyacá;Chiquinquirá;15176;2;2;2
Cauca;Paez;19517;114;108;90
Santander;Cabrera;68121;1;1;1
Atlántico;Malambo;8433;9;8;8
Norte Santander;Convención;54206;117;108;94
Cesar;El Copey;20238;661;600;520
Boyacá;Zetaquira;15897;1;1;1
Nariño;Túquerres;52838;5;5;4
Cundinamarca;Anapoima;25035;6;6;6
Valle Del Cauca;Tuluá;76834;573;479;460
Valle Del Cauca;Dagua;76233;321;307;258
Cundinamarca;Venecia;25506;51;48;39
Cesar;San Alberto;20710;488;438;355
Norte Santander;El Tarra;54250;182;166;151
Antioquia;Guatapé;5321;21;20;15
Cundinamarca;Sibaté;25740;7;7;6
Santander;Tona;68820;8;2;7
Antioquia;Hispania;5353;2;0;2
Huila;Timaná;41807;4;4;4
Valle Del Cauca;Bugalagrande;76113;341;268;229
Nariño;Taminango;52786;18;18;11
Casanare;Trinidad;85430;97;84;67
Tolima;Espinal;73268;3;3;2
